town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,President,,R,Mitt Romney,False,212
Albany,Carroll,President,,R,Mitt Romney,False,157
Alexandria,Grafton,President,,R,Mitt Romney,False,432
Allenstown,Merrimack,President,,R,Mitt Romney,False,981
Alstead,Cheshire,President,,R,Mitt Romney,False,383
Alton,Belknap,President,,R,Mitt Romney,False,2147
Amherst,Hillsborough,President,,R,Mitt Romney,False,3906
Andover,Merrimack,President,,R,Mitt Romney,False,571
Antrim,Hillsborough,President,,R,Mitt Romney,False,655
Ashland,Grafton,President,,R,Mitt Romney,False,522
At. & Gil. Academy Grant,Coos,President,,R,Mitt Romney,False,0
Atkinson,Rockingham,President,,R,Mitt Romney,False,2691
Auburn,Rockingham,President,,R,Mitt Romney,False,1996
Barnstead,Belknap,President,,R,Mitt Romney,False,1254
Barrington,Strafford,President,,R,Mitt Romney,False,2271
Bartlett,Carroll,President,,R,Mitt Romney,False,774
Bath,Grafton,President,,R,Mitt Romney,False,272
Bean's Grant,Coos,President,,R,Mitt Romney,False,0
Bean's Purchase,Coos,President,,R,Mitt Romney,False,0
Bedford,Hillsborough,President,,R,Mitt Romney,False,7990
Belmont,Belknap,President,,R,Mitt Romney,False,1816
Bennington,Hillsborough,President,,R,Mitt Romney,False,363
Benton,Grafton,President,,R,Mitt Romney,False,96
Berlin,Coos,President,,R,Mitt Romney,False,1248
Bethlehem,Grafton,President,,R,Mitt Romney,False,534
Boscawen,Merrimack,President,,R,Mitt Romney,False,766
Bow,Merrimack,President,,R,Mitt Romney,False,2352
Bradford,Merrimack,President,,R,Mitt Romney,False,456
Brentwood,Rockingham,President,,R,Mitt Romney,False,1301
Bridgewater,Grafton,President,,R,Mitt Romney,False,352
Bristol,Grafton,President,,R,Mitt Romney,False,821
Brookfield,Carroll,President,,R,Mitt Romney,False,251
Brookline,Hillsborough,President,,R,Mitt Romney,False,1623
Cambridge,Coos,President,,R,Mitt Romney,False,1
Campton,Grafton,President,,R,Mitt Romney,False,765
Canaan,Grafton,President,,R,Mitt Romney,False,709
Candia,Rockingham,President,,R,Mitt Romney,False,1528
Canterbury,Merrimack,President,,R,Mitt Romney,False,629
Carroll,Coos,President,,R,Mitt Romney,False,226
Center Harbor,Belknap,President,,R,Mitt Romney,False,406
Chandler's Purchase,Coos,President,,R,Mitt Romney,False,0
Charlestown,Sullivan,President,,R,Mitt Romney,False,856
Chatham,Carroll,President,,R,Mitt Romney,False,110
Chester,Rockingham,President,,R,Mitt Romney,False,1622
Chesterfield,Cheshire,President,,R,Mitt Romney,False,911
Chichester,Merrimack,President,,R,Mitt Romney,False,784
Claremont,Sullivan,President,,R,Mitt Romney,False,2147
Clarksville,Coos,President,,R,Mitt Romney,False,83
Colebrook,Coos,President,,R,Mitt Romney,False,506
Columbia,Coos,President,,R,Mitt Romney,False,183
Concord,Merrimack,President,,R,Mitt Romney,False,7325
Conway,Carroll,President,,R,Mitt Romney,False,2046
Cornish,Sullivan,President,,R,Mitt Romney,False,395
Crawford's Purchase,Coos,President,,R,Mitt Romney,False,0
Croydon,Sullivan,President,,R,Mitt Romney,False,233
Cutt's Grant,Coos,President,,R,Mitt Romney,False,0
Dalton,Coos,President,,R,Mitt Romney,False,240
Danbury,Merrimack,President,,R,Mitt Romney,False,313
Danville,Rockingham,President,,R,Mitt Romney,False,1356
Deerfield,Rockingham,President,,R,Mitt Romney,False,1485
Deering,Hillsborough,President,,R,Mitt Romney,False,505
Derry,Rockingham,President,,R,Mitt Romney,False,8350
Dix's Grant,Coos,President,,R,Mitt Romney,False,0
Dixville,Coos,President,,R,Mitt Romney,False,5
Dorchester,Grafton,President,,R,Mitt Romney,False,97
Dover,Strafford,President,,R,Mitt Romney,False,6162
Dublin,Cheshire,President,,R,Mitt Romney,False,375
Dummer,Coos,President,,R,Mitt Romney,False,79
Dunbarton,Merrimack,President,,R,Mitt Romney,False,958
Durham,Strafford,President,,R,Mitt Romney,False,2217
East Kingston,Rockingham,President,,R,Mitt Romney,False,916
Easton,Grafton,President,,R,Mitt Romney,False,63
Eaton,Carroll,President,,R,Mitt Romney,False,119
Effingham,Carroll,President,,R,Mitt Romney,False,393
Ellsworth,Grafton,President,,R,Mitt Romney,False,19
Enfield,Grafton,President,,R,Mitt Romney,False,843
Epping,Rockingham,President,,R,Mitt Romney,False,1697
Epsom,Merrimack,President,,R,Mitt Romney,False,1333
Errol,Coos,President,,R,Mitt Romney,False,96
Erving's Location,Coos,President,,R,Mitt Romney,False,0
Exeter,Rockingham,President,,R,Mitt Romney,False,3614
Farmington,Strafford,President,,R,Mitt Romney,False,1429
Fitzwilliam,Cheshire,President,,R,Mitt Romney,False,550
