town,county,office,district,party,candidate,winner,votes
Albany,Carroll,Executive Council,1,D,Beth Funicella,False,150
Alexandria,Grafton,Executive Council,1,D,Beth Funicella,False,289
Alton,Belknap,Executive Council,1,D,Beth Funicella,False,906
Andover,Merrimack,Executive Council,1,D,Beth Funicella,False,547
Ashland,Grafton,Executive Council,1,D,Beth Funicella,False,312
At. & Gil. Academy Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Bartlett,Carroll,Executive Council,1,D,Beth Funicella,False,680
Bath,Grafton,Executive Council,1,D,Beth Funicella,False,66
Bean's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Bean's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Benton,Grafton,Executive Council,1,D,Beth Funicella,False,33
Berlin,Coos,Executive Council,1,D,Beth Funicella,False,1375
Bethlehem,Grafton,Executive Council,1,D,Beth Funicella,False,458
Bridgewater,Grafton,Executive Council,1,D,Beth Funicella,False,201
Bristol,Grafton,Executive Council,1,D,Beth Funicella,False,467
Brookfield,Carroll,Executive Council,1,D,Beth Funicella,False,120
Cambridge,Coos,Executive Council,1,D,Beth Funicella,False,0
Campton,Grafton,Executive Council,1,D,Beth Funicella,False,608
Canaan,Grafton,Executive Council,1,D,Beth Funicella,False,814
Carroll,Coos,Executive Council,1,D,Beth Funicella,False,165
Center Harbor,Belknap,Executive Council,1,D,Beth Funicella,False,196
Chandler's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Chatham,Carroll,Executive Council,1,D,Beth Funicella,False,61
Claremont,Sullivan,Executive Council,1,D,Beth Funicella,False,2291
Clarksville,Coos,Executive Council,1,D,Beth Funicella,False,24
Colebrook,Coos,Executive Council,1,D,Beth Funicella,False,224
Columbia,Coos,Executive Council,1,D,Beth Funicella,False,73
Conway,Carroll,Executive Council,1,D,Beth Funicella,False,1909
Cornish,Sullivan,Executive Council,1,D,Beth Funicella,False,455
Crawford's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Croydon,Sullivan,Executive Council,1,D,Beth Funicella,False,135
Cutt's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Dalton,Coos,Executive Council,1,D,Beth Funicella,False,82
Danbury,Merrimack,Executive Council,1,D,Beth Funicella,False,202
Dix's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Dixville,Coos,Executive Council,1,D,Beth Funicella,False,2
Dorchester,Grafton,Executive Council,1,D,Beth Funicella,False,52
Dummer,Coos,Executive Council,1,D,Beth Funicella,False,34
Easton,Grafton,Executive Council,1,D,Beth Funicella,False,52
Eaton,Carroll,Executive Council,1,D,Beth Funicella,False,128
Effingham,Carroll,Executive Council,1,D,Beth Funicella,False,262
Ellsworth,Grafton,Executive Council,1,D,Beth Funicella,False,16
Enfield,Grafton,Executive Council,1,D,Beth Funicella,False,1120
Errol,Coos,Executive Council,1,D,Beth Funicella,False,40
Erving's Location,Coos,Executive Council,1,D,Beth Funicella,False,0
Franconia,Grafton,Executive Council,1,D,Beth Funicella,False,241
Freedom,Carroll,Executive Council,1,D,Beth Funicella,False,300
Gilford,Belknap,Executive Council,1,D,Beth Funicella,False,1365
Gorham,Coos,Executive Council,1,D,Beth Funicella,False,447
Grafton,Grafton,Executive Council,1,D,Beth Funicella,False,220
Grantham,Sullivan,Executive Council,1,D,Beth Funicella,False,865
Green's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Groton,Grafton,Executive Council,1,D,Beth Funicella,False,79
Hadley's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Hale's Location,Carroll,Executive Council,1,D,Beth Funicella,False,22
Hanover,Grafton,Executive Council,1,D,Beth Funicella,False,3990
Hart's Location,Carroll,Executive Council,1,D,Beth Funicella,False,15
Haverhill,Grafton,Executive Council,1,D,Beth Funicella,False,369
Hebron,Grafton,Executive Council,1,D,Beth Funicella,False,82
Hill,Merrimack,Executive Council,1,D,Beth Funicella,False,187
Holderness,Grafton,Executive Council,1,D,Beth Funicella,False,416
Jackson,Carroll,Executive Council,1,D,Beth Funicella,False,261
Jefferson,Coos,Executive Council,1,D,Beth Funicella,False,104
Kilkenny,Coos,Executive Council,1,D,Beth Funicella,False,0
Laconia,Belknap,Executive Council,1,D,Beth Funicella,False,2604
Lancaster,Coos,Executive Council,1,D,Beth Funicella,False,350
