town,county,office,district,party,candidate,winner,votes
Center Harbor,Belknap,State Representative,1,D,Gulick ,True,285
New Hampton,Belknap,State Representative,1,D,Gulick ,True,694
Center Harbor,Belknap,State Representative,1,R,Quinney,False,373
New Hampton,Belknap,State Representative,1,R,Quinney,False,525
Center Harbor,Belknap,State Representative,1,,Scatter,False,0
New Hampton,Belknap,State Representative,1,,Scatter,False,6
Gilford,Belknap,State Representative,2,R,"Greemore, Jr.",True,1658
Meredith,Belknap,State Representative,2,R,"Greemore, Jr.",True,1733
Gilford,Belknap,State Representative,2,R,Leandro,False,1868
Meredith,Belknap,State Representative,2,R,Leandro,False,1517
Gilford,Belknap,State Representative,2,D,Miller,False,1705
Meredith,Belknap,State Representative,2,D,Miller,False,1646
Gilford,Belknap,State Representative,2,R,Vadney,True,1629
Meredith,Belknap,State Representative,2,R,Vadney,True,1781
Gilford,Belknap,State Representative,2,R,Worsman,True,1749
Meredith,Belknap,State Representative,2,R,Worsman,True,1768
Gilford,Belknap,State Representative,2,D,DiMartino,True,2056
Meredith,Belknap,State Representative,2,D,DiMartino,True,1434
Gilford,Belknap,State Representative,2,D,Johnson,False,1811
Meredith,Belknap,State Representative,2,D,Johnson,False,1404
Gilford,Belknap,State Representative,2,D,Mucci,False,1544
Meredith,Belknap,State Representative,2,D,Mucci,False,1438
Gilford,Belknap,State Representative,2,UND,O'Brien,False,688
Meredith,Belknap,State Representative,2,UND,O'Brien,False,239
Gilford,Belknap,State Representative,2,,Scatter,False,12
Meredith,Belknap,State Representative,2,,Scatter,False,3
Laconia,Belknap,State Representative,3,R,Flanders,True,3597
Laconia,Belknap,State Representative,3,R,Kingsbury,False,3002
Laconia,Belknap,State Representative,3,R,Luther,True,3153
Laconia,Belknap,State Representative,3,R,Tilton,True,3621
Laconia,Belknap,State Representative,3,D,Fisher,False,2592
Laconia,Belknap,State Representative,3,D,Huot,True,3678
Laconia,Belknap,State Representative,3,D,Smith,False,2731
Laconia,Belknap,State Representative,3,D,Vaillancourt,False,2948
Sanbornton,Belknap,State Representative,4,D,Alden,False,649
Tilton,Belknap,State Representative,4,D,Alden,False,887
Sanbornton,Belknap,State Representative,4,R,Fields,True,883
Tilton,Belknap,State Representative,4,R,Fields,True,803
Sanbornton,Belknap,State Representative,4,R,"Lang, Sr.",False,732
Tilton,Belknap,State Representative,4,R,"Lang, Sr.",False,647
Sanbornton,Belknap,State Representative,4,D,Raymond,True,791
Tilton,Belknap,State Representative,4,D,Raymond,True,778
Alton,Belknap,State Representative,5,R,Burchell,True,1661
Gilmanton,Belknap,State Representative,5,R,Burchell,True,985
Alton,Belknap,State Representative,5,D,Chase,False,1171
Gilmanton,Belknap,State Representative,5,D,Chase,False,999
Alton,Belknap,State Representative,5,D,Henry,False,929
Gilmanton,Belknap,State Representative,5,D,Henry,False,692
Alton,Belknap,State Representative,5,R,Holmes,True,1860
Gilmanton,Belknap,State Representative,5,R,Holmes,True,907
Alton,Belknap,State Representative,5,,Scatter,False,5
Gilmanton,Belknap,State Representative,5,,Scatter,False,0
Belmont,Belknap,State Representative,6,D,Condod-  emetraky,False,1118
Belmont,Belknap,State Representative,6,D,Cormier,False,1517
Belmont,Belknap,State Representative,6,R,Fink,True,1575
Belmont,Belknap,State Representative,6,,Scatter,False,14
Belmont,Belknap,State Representative,6,R,Sylvia,True,1646
Barnstead,Belknap,State Representative,7,R,Comtois,True,1255
Barnstead,Belknap,State Representative,7,D,Marriott,False,1003
Barnstead,Belknap,State Representative,7,,Scatter,False,4
Alton,Belknap,State Representative,8,R,Cormier,True,2035
Barnstead,Belknap,State Representative,8,R,Cormier,True,1193
Gilmanton,Belknap,State Representative,8,R,Cormier,True,1113
Alton,Belknap,State Representative,8,,Scatter,False,2
Barnstead,Belknap,State Representative,8,,Scatter,False,2
Gilmanton,Belknap,State Representative,8,,Scatter,False,0
Alton,Belknap,State Representative,8,D,Smith,False,1054
Barnstead,Belknap,State Representative,8,D,Smith,False,991
Gilmanton,Belknap,State Representative,8,D,Smith,False,836
Belmont,Belknap,State Representative,9,D, Arsenault,True,1704
Laconia,Belknap,State Representative,9,D, Arsenault,True,3821
Belmont,Belknap,State Representative,9,R,Accornero,False,1566
Laconia,Belknap,State Representative,9,R,Accornero,False,3258
Belmont,Belknap,State Representative,9,,Scatter,False,5
Laconia,Belknap,State Representative,9,,Scatter,False,24
Bartlett,Carroll,State Representative,1,R,Chandler,True,1129
Hart's Location,Carroll,State Representative,1,R,Chandler,True,17
Jackson,Carroll,State Representative,1,R,Chandler,True,379
Bartlett,Carroll,State Representative,1,D,Funicella,False,639
Hart's Location,Carroll,State Representative,1,D,Funicella,False,15
Jackson,Carroll,State Representative,1,D,Funicella,False,266
Bartlett,Carroll,State Representative,1,,Scatter,False,0
Hart's Location,Carroll,State Representative,1,,Scatter,False,0
Jackson,Carroll,State Representative,1,,Scatter,False,0
Chatham,Carroll,State Representative,2,R,McCarthy,False,99
Conway,Carroll,State Representative,2,R,McCarthy,False,2038
Eaton,Carroll,State Representative,2,R,McCarthy,False,116
Hale's Location,Carroll,State Representative,2,R,McCarthy,False,85
Chatham,Carroll,State Representative,2,R,McClure,False,90
Conway,Carroll,State Representative,2,R,McClure,False,1613
Eaton,Carroll,State Representative,2,R,McClure,False,93
Hale's Location,Carroll,State Representative,2,R,McClure,False,109
Chatham,Carroll,State Representative,2,R,Umberger,True,107
Conway,Carroll,State Representative,2,R,Umberger,True,2170
Eaton,Carroll,State Representative,2,R,Umberger,True,108
Hale's Location,Carroll,State Representative,2,R,Umberger,True,88
Chatham,Carroll,State Representative,2,D,Buco,True,92
Conway,Carroll,State Representative,2,D,Buco,True,2388
Eaton,Carroll,State Representative,2,D,Buco,True,147
Hale's Location,Carroll,State Representative,2,D,Buco,True,18
Chatham,Carroll,State Representative,2,D,Pollock,False,79
Conway,Carroll,State Representative,2,D,Pollock,False,2085
Eaton,Carroll,State Representative,2,D,Pollock,False,133
Hale's Location,Carroll,State Representative,2,D,Pollock,False,17
Chatham,Carroll,State Representative,2,D,White,True,71
Conway,Carroll,State Representative,2,D,White,True,2148
Eaton,Carroll,State Representative,2,D,White,True,141
Hale's Location,Carroll,State Representative,2,D,White,True,15
Albany,Carroll,State Representative,3,R,McConkey,True,155
Freedom,Carroll,State Representative,3,R,McConkey,True,474
Madison,Carroll,State Representative,3,R,McConkey,True,559
Tamworth,Carroll,State Representative,3,R,McConkey,True,760
Albany,Carroll,State Representative,3,,Scatter,False,0
Freedom,Carroll,State Representative,3,,Scatter,False,1
Madison,Carroll,State Representative,3,,Scatter,False,1
Tamworth,Carroll,State Representative,3,,Scatter,False,3
Albany,Carroll,State Representative,3,R,Thomson,False,138
Freedom,Carroll,State Representative,3,R,Thomson,False,505
Madison,Carroll,State Representative,3,R,Thomson,False,511
Tamworth,Carroll,State Representative,3,R,Thomson,False,606
Albany,Carroll,State Representative,3,D,Ticehurst,True,202
Freedom,Carroll,State Representative,3,D,Ticehurst,True,363
Madison,Carroll,State Representative,3,D,Ticehurst,True,693
Tamworth,Carroll,State Representative,3,D,Ticehurst,True,785
Moultonborough,Carroll,State Representative,4,D,Albee,False,1117
Sandwich,Carroll,State Representative,4,D,Albee,False,524
Tuftonboro,Carroll,State Representative,4,D,Albee,False,777
Moultonborough,Carroll,State Representative,4,R,Cordelli,True,1414
Sandwich,Carroll,State Representative,4,R,Cordelli,True,360
Tuftonboro,Carroll,State Representative,4,R,Cordelli,True,759
Moultonborough,Carroll,State Representative,4,R,Crawford,True,1722
Sandwich,Carroll,State Representative,4,R,Crawford,True,392
Tuftonboro,Carroll,State Representative,4,R,Crawford,True,697
Moultonborough,Carroll,State Representative,4,,Scatter,False,0
Sandwich,Carroll,State Representative,4,,Scatter,False,0
Tuftonboro,Carroll,State Representative,4,,Scatter,False,1
Brookfield,Carroll,State Representative,5,D,Lavender,True,186
Effingham,Carroll,State Representative,5,D,Lavender,True,330
Ossipee,Carroll,State Representative,5,D,Lavender,True,772
Wakefield,Carroll,State Representative,5,D,Lavender,True,1065
Brookfield,Carroll,State Representative,5,R,Merrow,True,171
Effingham,Carroll,State Representative,5,R,Merrow,True,392
Ossipee,Carroll,State Representative,5,R,Merrow,True,1256
Wakefield,Carroll,State Representative,5,R,Merrow,True,1018
Brookfield,Carroll,State Representative,5,R,Nelson,True,235
Effingham,Carroll,State Representative,5,R,Nelson,True,329
Ossipee,Carroll,State Representative,5,R,Nelson,True,938
Wakefield,Carroll,State Representative,5,R,Nelson,True,1192
Brookfield,Carroll,State Representative,5,R,Olimpio,False,168
Effingham,Carroll,State Representative,5,R,Olimpio,False,264
Ossipee,Carroll,State Representative,5,R,Olimpio,False,758
Wakefield,Carroll,State Representative,5,R,Olimpio,False,1019
Brookfield,Carroll,State Representative,5,,Scatter,False,0
Effingham,Carroll,State Representative,5,,Scatter,False,1
Ossipee,Carroll,State Representative,5,,Scatter,False,4
Wakefield,Carroll,State Representative,5,,Scatter,False,11
Wolfeboro,Carroll,State Representative,6,R,Ahlgren,True,2087
Wolfeboro,Carroll,State Representative,6,,Scatter,False,0
Wolfeboro,Carroll,State Representative,6,R,Schmidt,True,2010
Wolfeboro,Carroll,State Representative,6,D,White,False,1506
Wolfeboro,Carroll,State Representative,6,D,Woods,False,1691
Albany,Carroll,State Representative,7,D,Butler,True,226
Bartlett,Carroll,State Representative,7,D,Butler,True,1050
Chatham,Carroll,State Representative,7,D,Butler,True,100
Conway,Carroll,State Representative,7,D,Butler,True,2873
Eaton,Carroll,State Representative,7,D,Butler,True,156
Freedom,Carroll,State Representative,7,D,Butler,True,419
Hale's Location,Carroll,State Representative,7,D,Butler,True,30
Hart's Location,Carroll,State Representative,7,D,Butler,True,27
Jackson,Carroll,State Representative,7,D,Butler,True,423
Madison,Carroll,State Representative,7,D,Butler,True,787
Tamworth,Carroll,State Representative,7,D,Butler,True,835
Albany,Carroll,State Representative,7,,Scatter,False,0
Bartlett,Carroll,State Representative,7,,Scatter,False,0
Chatham,Carroll,State Representative,7,,Scatter,False,0
Conway,Carroll,State Representative,7,,Scatter,False,6
Eaton,Carroll,State Representative,7,,Scatter,False,0
Freedom,Carroll,State Representative,7,,Scatter,False,1
Hale's Location,Carroll,State Representative,7,,Scatter,False,0
