town,county,office,district,party,candidate,winner,votes
At. & Gil. Academy Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Bath,Grafton,State Senate,1,REP,Debi Warner,False,239
Bean's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Bean's Purchase,Coos,State Senate,1,REP,Debi Warner,False,0
Benton,Grafton,State Senate,1,REP,Debi Warner,False,93
Berlin,Coos,State Senate,1,REP,Debi Warner,False,1185
Bethlehem,Grafton,State Senate,1,REP,Debi Warner,False,528
Cambridge,Coos,State Senate,1,REP,Debi Warner,False,3
Carroll,Coos,State Senate,1,REP,Debi Warner,False,194
Chandler's Purchase,Coos,State Senate,1,REP,Debi Warner,False,0
Clarksville,Coos,State Senate,1,REP,Debi Warner,False,77
Colebrook,Coos,State Senate,1,REP,Debi Warner,False,392
Columbia,Coos,State Senate,1,REP,Debi Warner,False,133
Crawford's Purchase,Coos,State Senate,1,REP,Debi Warner,False,0
Cutt's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Dalton,Coos,State Senate,1,REP,Debi Warner,False,193
Dix's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Dixville,Coos,State Senate,1,REP,Debi Warner,False,3
Dummer,Coos,State Senate,1,REP,Debi Warner,False,77
Easton,Grafton,State Senate,1,REP,Debi Warner,False,62
Errol,Coos,State Senate,1,REP,Debi Warner,False,93
Erving's Location,Coos,State Senate,1,REP,Debi Warner,False,0
Franconia,Grafton,State Senate,1,REP,Debi Warner,False,267
Gorham,Coos,State Senate,1,REP,Debi Warner,False,479
Green's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Hadley's Purchase,Coos,State Senate,1,REP,Debi Warner,False,0
Jefferson,Coos,State Senate,1,REP,Debi Warner,False,224
Kilkenny,Coos,State Senate,1,REP,Debi Warner,False,0
Lancaster,Coos,State Senate,1,REP,Debi Warner,False,648
Landaff,Grafton,State Senate,1,REP,Debi Warner,False,106
Lincoln,Grafton,State Senate,1,REP,Debi Warner,False,350
Lisbon,Grafton,State Senate,1,REP,Debi Warner,False,308
Littleton,Grafton,State Senate,1,REP,Debi Warner,False,1256
Livermore,Grafton,State Senate,1,REP,Debi Warner,False,0
Low & Burbank's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Lyman,Grafton,State Senate,1,REP,Debi Warner,False,154
Martin's Location,Coos,State Senate,1,REP,Debi Warner,False,0
Milan,Coos,State Senate,1,REP,Debi Warner,False,304
Millsfield,Coos,State Senate,1,REP,Debi Warner,False,16
Monroe,Grafton,State Senate,1,REP,Debi Warner,False,284
Northumberland,Coos,State Senate,1,REP,Debi Warner,False,328
Odell,Coos,State Senate,1,REP,Debi Warner,False,0
Pinkham's Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Pittsburg,Coos,State Senate,1,REP,Debi Warner,False,313
Randolph,Coos,State Senate,1,REP,Debi Warner,False,72
Sargent's Purchase,Coos,State Senate,1,REP,Debi Warner,False,0
Second College Grant,Coos,State Senate,1,REP,Debi Warner,False,0
Shelburne,Coos,State Senate,1,REP,Debi Warner,False,121
Stark,Coos,State Senate,1,REP,Debi Warner,False,98
Stewartstown,Coos,State Senate,1,REP,Debi Warner,False,163
Stratford,Coos,State Senate,1,REP,Debi Warner,False,93
Success,Coos,State Senate,1,REP,Debi Warner,False,0
Sugar Hill,Grafton,State Senate,1,REP,Debi Warner,False,142
Thompson & Meserve's Pur.,Coos,State Senate,1,REP,Debi Warner,False,0
Thornton,Grafton,State Senate,1,REP,Debi Warner,False,611
Wentworth's Location,Coos,State Senate,1,REP,Debi Warner,False,11
Whitefield,Coos,State Senate,1,REP,Debi Warner,False,382
Woodstock,Grafton,State Senate,1,REP,Debi Warner,False,346
At. & Gil. Academy Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Bath,Grafton,State Senate,1,DEM,Jeff Woodburn,True,284
Bean's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Bean's Purchase,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Benton,Grafton,State Senate,1,DEM,Jeff Woodburn,True,68
Berlin,Coos,State Senate,1,DEM,Jeff Woodburn,True,2723
Bethlehem,Grafton,State Senate,1,DEM,Jeff Woodburn,True,824
Cambridge,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Carroll,Coos,State Senate,1,DEM,Jeff Woodburn,True,290
Chandler's Purchase,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Clarksville,Coos,State Senate,1,DEM,Jeff Woodburn,True,66
Colebrook,Coos,State Senate,1,DEM,Jeff Woodburn,True,516
Columbia,Coos,State Senate,1,DEM,Jeff Woodburn,True,180
Crawford's Purchase,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Cutt's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Dalton,Coos,State Senate,1,DEM,Jeff Woodburn,True,293
Dix's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Dixville,Coos,State Senate,1,DEM,Jeff Woodburn,True,7
Dummer,Coos,State Senate,1,DEM,Jeff Woodburn,True,78
Easton,Grafton,State Senate,1,DEM,Jeff Woodburn,True,124
Errol,Coos,State Senate,1,DEM,Jeff Woodburn,True,69
Erving's Location,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Franconia,Grafton,State Senate,1,DEM,Jeff Woodburn,True,448
Gorham,Coos,State Senate,1,DEM,Jeff Woodburn,True,960
Green's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,1
Hadley's Purchase,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Jefferson,Coos,State Senate,1,DEM,Jeff Woodburn,True,353
Kilkenny,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Lancaster,Coos,State Senate,1,DEM,Jeff Woodburn,True,932
Landaff,Grafton,State Senate,1,DEM,Jeff Woodburn,True,123
Lincoln,Grafton,State Senate,1,DEM,Jeff Woodburn,True,366
Lisbon,Grafton,State Senate,1,DEM,Jeff Woodburn,True,365
Littleton,Grafton,State Senate,1,DEM,Jeff Woodburn,True,1521
Livermore,Grafton,State Senate,1,DEM,Jeff Woodburn,True,0
Low & Burbank's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Lyman,Grafton,State Senate,1,DEM,Jeff Woodburn,True,133
Martin's Location,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Milan,Coos,State Senate,1,DEM,Jeff Woodburn,True,396
Millsfield,Coos,State Senate,1,DEM,Jeff Woodburn,True,4
Monroe,Grafton,State Senate,1,DEM,Jeff Woodburn,True,174
Northumberland,Coos,State Senate,1,DEM,Jeff Woodburn,True,625
Odell,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Pinkham's Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,3
Pittsburg,Coos,State Senate,1,DEM,Jeff Woodburn,True,196
Randolph,Coos,State Senate,1,DEM,Jeff Woodburn,True,163
Sargent's Purchase,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Second College Grant,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Shelburne,Coos,State Senate,1,DEM,Jeff Woodburn,True,124
Stark,Coos,State Senate,1,DEM,Jeff Woodburn,True,180
Stewartstown,Coos,State Senate,1,DEM,Jeff Woodburn,True,157
Stratford,Coos,State Senate,1,DEM,Jeff Woodburn,True,157
Success,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Sugar Hill,Grafton,State Senate,1,DEM,Jeff Woodburn,True,238
Thompson & Meserve's Pur.,Coos,State Senate,1,DEM,Jeff Woodburn,True,0
Thornton,Grafton,State Senate,1,DEM,Jeff Woodburn,True,676
Wentworth's Location,Coos,State Senate,1,DEM,Jeff Woodburn,True,8
Whitefield,Coos,State Senate,1,DEM,Jeff Woodburn,True,721
Woodstock,Grafton,State Senate,1,DEM,Jeff Woodburn,True,378
At. & Gil. Academy Grant,Coos,State Senate,1,,Scatter,False,0
Bath,Grafton,State Senate,1,,Scatter,False,0
Bean's Grant,Coos,State Senate,1,,Scatter,False,0
Bean's Purchase,Coos,State Senate,1,,Scatter,False,0
Benton,Grafton,State Senate,1,,Scatter,False,0
Berlin,Coos,State Senate,1,,Scatter,False,3
Bethlehem,Grafton,State Senate,1,,Scatter,False,0
Cambridge,Coos,State Senate,1,,Scatter,False,0
Carroll,Coos,State Senate,1,,Scatter,False,0
Chandler's Purchase,Coos,State Senate,1,,Scatter,False,0
Clarksville,Coos,State Senate,1,,Scatter,False,0
