town,county,office,district,party,candidate,winner,votes
Center Harbor,Belknap,State Representative,1,DEM,Gulick ,True,285
New Hampton,Belknap,State Representative,1,DEM,Gulick ,True,694
Center Harbor,Belknap,State Representative,1,REP,Quinney,False,373
New Hampton,Belknap,State Representative,1,REP,Quinney,False,525
Center Harbor,Belknap,State Representative,1,,Scatter,False,0
New Hampton,Belknap,State Representative,1,,Scatter,False,6
Gilford,Belknap,State Representative,2,REP,"Greemore, Jr.",True,1658
Meredith,Belknap,State Representative,2,REP,"Greemore, Jr.",True,1733
Gilford,Belknap,State Representative,2,REP,Leandro,False,1868
Meredith,Belknap,State Representative,2,REP,Leandro,False,1517
Gilford,Belknap,State Representative,2,DEM,Miller,False,1705
Meredith,Belknap,State Representative,2,DEM,Miller,False,1646
Gilford,Belknap,State Representative,2,REP,Vadney,True,1629
Meredith,Belknap,State Representative,2,REP,Vadney,True,1781
Gilford,Belknap,State Representative,2,REP,Worsman,True,1749
Meredith,Belknap,State Representative,2,REP,Worsman,True,1768
Gilford,Belknap,State Representative,2,DEM,DiMartino,True,2056
Meredith,Belknap,State Representative,2,DEM,DiMartino,True,1434
Gilford,Belknap,State Representative,2,DEM,Johnson,False,1811
Meredith,Belknap,State Representative,2,DEM,Johnson,False,1404
Gilford,Belknap,State Representative,2,DEM,Mucci,False,1544
Meredith,Belknap,State Representative,2,DEM,Mucci,False,1438
Gilford,Belknap,State Representative,2,IND,O'Brien,False,688
Meredith,Belknap,State Representative,2,IND,O'Brien,False,239
Gilford,Belknap,State Representative,2,,Scatter,False,12
Meredith,Belknap,State Representative,2,,Scatter,False,3
Laconia,Belknap,State Representative,3,REP,Flanders,True,3597
Laconia,Belknap,State Representative,3,REP,Kingsbury,False,3002
Laconia,Belknap,State Representative,3,REP,Luther,True,3153
Laconia,Belknap,State Representative,3,REP,Tilton,True,3621
Laconia,Belknap,State Representative,3,DEM,Fisher,False,2592
Laconia,Belknap,State Representative,3,DEM,Huot,True,3678
Laconia,Belknap,State Representative,3,DEM,Smith,False,2731
Laconia,Belknap,State Representative,3,DEM,Vaillancourt,False,2948
Sanbornton,Belknap,State Representative,4,DEM,Alden,False,649
Tilton,Belknap,State Representative,4,DEM,Alden,False,887
Sanbornton,Belknap,State Representative,4,REP,Fields,True,883
Tilton,Belknap,State Representative,4,REP,Fields,True,803
Sanbornton,Belknap,State Representative,4,REP,"Lang, Sr.",False,732
Tilton,Belknap,State Representative,4,REP,"Lang, Sr.",False,647
Sanbornton,Belknap,State Representative,4,DEM,Raymond,True,791
Tilton,Belknap,State Representative,4,DEM,Raymond,True,778
Alton,Belknap,State Representative,5,REP,Burchell,True,1661
Gilmanton,Belknap,State Representative,5,REP,Burchell,True,985
Alton,Belknap,State Representative,5,DEM,Chase,False,1171
Gilmanton,Belknap,State Representative,5,DEM,Chase,False,999
Alton,Belknap,State Representative,5,DEM,Henry,False,929
Gilmanton,Belknap,State Representative,5,DEM,Henry,False,692
Alton,Belknap,State Representative,5,REP,Holmes,True,1860
Gilmanton,Belknap,State Representative,5,REP,Holmes,True,907
Alton,Belknap,State Representative,5,,Scatter,False,5
Gilmanton,Belknap,State Representative,5,,Scatter,False,0
Belmont,Belknap,State Representative,6,DEM,Condod-  emetraky,False,1118
Belmont,Belknap,State Representative,6,DEM,Cormier,False,1517
Belmont,Belknap,State Representative,6,REP,Fink,True,1575
Belmont,Belknap,State Representative,6,,Scatter,False,14
Belmont,Belknap,State Representative,6,REP,Sylvia,True,1646
Barnstead,Belknap,State Representative,7,REP,Comtois,True,1255
Barnstead,Belknap,State Representative,7,DEM,Marriott,False,1003
Barnstead,Belknap,State Representative,7,,Scatter,False,4
Alton,Belknap,State Representative,8,REP,Cormier,True,2035
Barnstead,Belknap,State Representative,8,REP,Cormier,True,1193
Gilmanton,Belknap,State Representative,8,REP,Cormier,True,1113
Alton,Belknap,State Representative,8,,Scatter,False,2
Barnstead,Belknap,State Representative,8,,Scatter,False,2
Gilmanton,Belknap,State Representative,8,,Scatter,False,0
Alton,Belknap,State Representative,8,DEM,Smith,False,1054
Barnstead,Belknap,State Representative,8,DEM,Smith,False,991
Gilmanton,Belknap,State Representative,8,DEM,Smith,False,836
Belmont,Belknap,State Representative,9,DEM, Arsenault,True,1704
Laconia,Belknap,State Representative,9,DEM, Arsenault,True,3821
Belmont,Belknap,State Representative,9,REP,Accornero,False,1566
Laconia,Belknap,State Representative,9,REP,Accornero,False,3258
Belmont,Belknap,State Representative,9,,Scatter,False,5
Laconia,Belknap,State Representative,9,,Scatter,False,24
Bartlett,Carroll,State Representative,1,REP,Chandler,True,1129
Hart's Location,Carroll,State Representative,1,REP,Chandler,True,17
Jackson,Carroll,State Representative,1,REP,Chandler,True,379
Bartlett,Carroll,State Representative,1,DEM,Funicella,False,639
Hart's Location,Carroll,State Representative,1,DEM,Funicella,False,15
Jackson,Carroll,State Representative,1,DEM,Funicella,False,266
Bartlett,Carroll,State Representative,1,,Scatter,False,0
Hart's Location,Carroll,State Representative,1,,Scatter,False,0
Jackson,Carroll,State Representative,1,,Scatter,False,0
Chatham,Carroll,State Representative,2,REP,McCarthy,False,99
Conway,Carroll,State Representative,2,REP,McCarthy,False,2038
Eaton,Carroll,State Representative,2,REP,McCarthy,False,116
Hale's Location,Carroll,State Representative,2,REP,McCarthy,False,85
Chatham,Carroll,State Representative,2,REP,McClure,False,90
Conway,Carroll,State Representative,2,REP,McClure,False,1613
Eaton,Carroll,State Representative,2,REP,McClure,False,93
Hale's Location,Carroll,State Representative,2,REP,McClure,False,109
Chatham,Carroll,State Representative,2,REP,Umberger,True,107
Conway,Carroll,State Representative,2,REP,Umberger,True,2170
Eaton,Carroll,State Representative,2,REP,Umberger,True,108
Hale's Location,Carroll,State Representative,2,REP,Umberger,True,88
Chatham,Carroll,State Representative,2,DEM,Buco,True,92
Conway,Carroll,State Representative,2,DEM,Buco,True,2388
Eaton,Carroll,State Representative,2,DEM,Buco,True,147
Hale's Location,Carroll,State Representative,2,DEM,Buco,True,18
Chatham,Carroll,State Representative,2,DEM,Pollock,False,79
Conway,Carroll,State Representative,2,DEM,Pollock,False,2085
Eaton,Carroll,State Representative,2,DEM,Pollock,False,133
Hale's Location,Carroll,State Representative,2,DEM,Pollock,False,17
Chatham,Carroll,State Representative,2,DEM,White,True,71
Conway,Carroll,State Representative,2,DEM,White,True,2148
Eaton,Carroll,State Representative,2,DEM,White,True,141
Hale's Location,Carroll,State Representative,2,DEM,White,True,15
Albany,Carroll,State Representative,3,REP,McConkey,True,155
Freedom,Carroll,State Representative,3,REP,McConkey,True,474
Madison,Carroll,State Representative,3,REP,McConkey,True,559
Tamworth,Carroll,State Representative,3,REP,McConkey,True,760
Albany,Carroll,State Representative,3,,Scatter,False,0
Freedom,Carroll,State Representative,3,,Scatter,False,1
Madison,Carroll,State Representative,3,,Scatter,False,1
Tamworth,Carroll,State Representative,3,,Scatter,False,3
Albany,Carroll,State Representative,3,REP,Thomson,False,138
Freedom,Carroll,State Representative,3,REP,Thomson,False,505
Madison,Carroll,State Representative,3,REP,Thomson,False,511
Tamworth,Carroll,State Representative,3,REP,Thomson,False,606
Albany,Carroll,State Representative,3,DEM,Ticehurst,True,202
Freedom,Carroll,State Representative,3,DEM,Ticehurst,True,363
Madison,Carroll,State Representative,3,DEM,Ticehurst,True,693
