town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,U.S. House,2,R,Charles Bass,False,208
Alexandria,Grafton,U.S. House,2,R,Charles Bass,False,424
Allenstown,Merrimack,U.S. House,2,R,Charles Bass,False,981
Alstead,Cheshire,U.S. House,2,R,Charles Bass,False,356
Amherst,Hillsborough,U.S. House,2,R,Charles Bass,False,3831
Andover,Merrimack,U.S. House,2,R,Charles Bass,False,543
Antrim,Hillsborough,U.S. House,2,R,Charles Bass,False,623
Ashland,Grafton,U.S. House,2,R,Charles Bass,False,513
At. & Gil. Academy Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Atkinson,Rockingham,U.S. House,2,R,Charles Bass,False,2391
Bath,Grafton,U.S. House,2,R,Charles Bass,False,293
Bean's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Bean's Purchase,Coos,U.S. House,2,R,Charles Bass,False,0
Bennington,Hillsborough,U.S. House,2,R,Charles Bass,False,372
Benton,Grafton,U.S. House,2,R,Charles Bass,False,94
Berlin,Coos,U.S. House,2,R,Charles Bass,False,1425
Bethlehem,Grafton,U.S. House,2,R,Charles Bass,False,568
Boscawen,Merrimack,U.S. House,2,R,Charles Bass,False,769
Bow,Merrimack,U.S. House,2,R,Charles Bass,False,2390
Bradford,Merrimack,U.S. House,2,R,Charles Bass,False,443
Bridgewater,Grafton,U.S. House,2,R,Charles Bass,False,350
Bristol,Grafton,U.S. House,2,R,Charles Bass,False,831
Brookline,Hillsborough,U.S. House,2,R,Charles Bass,False,1534
Cambridge,Coos,U.S. House,2,R,Charles Bass,False,3
Canaan,Grafton,U.S. House,2,R,Charles Bass,False,722
Canterbury,Merrimack,U.S. House,2,R,Charles Bass,False,621
Carroll,Coos,U.S. House,2,R,Charles Bass,False,222
Center Harbor,Belknap,U.S. House,2,R,Charles Bass,False,389
Chandler's Purchase,Coos,U.S. House,2,R,Charles Bass,False,0
Charlestown,Sullivan,U.S. House,2,R,Charles Bass,False,836
Chesterfield,Cheshire,U.S. House,2,R,Charles Bass,False,893
Chichester,Merrimack,U.S. House,2,R,Charles Bass,False,746
Claremont,Sullivan,U.S. House,2,R,Charles Bass,False,2202
Clarksville,Coos,U.S. House,2,R,Charles Bass,False,91
Colebrook,Coos,U.S. House,2,R,Charles Bass,False,491
Columbia,Coos,U.S. House,2,R,Charles Bass,False,170
Concord,Merrimack,U.S. House,2,R,Charles Bass,False,7514
Cornish,Sullivan,U.S. House,2,R,Charles Bass,False,407
Crawford's Purchase,Coos,U.S. House,2,R,Charles Bass,False,0
Croydon,Sullivan,U.S. House,2,R,Charles Bass,False,224
Cutt's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Dalton,Coos,U.S. House,2,R,Charles Bass,False,269
Danbury,Merrimack,U.S. House,2,R,Charles Bass,False,291
Deerfield,Rockingham,U.S. House,2,R,Charles Bass,False,1389
Deering,Hillsborough,U.S. House,2,R,Charles Bass,False,491
Dix's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Dixville,Coos,U.S. House,2,R,Charles Bass,False,6
Dorchester,Grafton,U.S. House,2,R,Charles Bass,False,92
Dublin,Cheshire,U.S. House,2,R,Charles Bass,False,401
Dummer,Coos,U.S. House,2,R,Charles Bass,False,88
Dunbarton,Merrimack,U.S. House,2,R,Charles Bass,False,946
Easton,Grafton,U.S. House,2,R,Charles Bass,False,68
Ellsworth,Grafton,U.S. House,2,R,Charles Bass,False,26
Enfield,Grafton,U.S. House,2,R,Charles Bass,False,876
Epsom,Merrimack,U.S. House,2,R,Charles Bass,False,1263
Errol,Coos,U.S. House,2,R,Charles Bass,False,94
Erving's Location,Coos,U.S. House,2,R,Charles Bass,False,0
Fitzwilliam,Cheshire,U.S. House,2,R,Charles Bass,False,538
Francestown,Hillsborough,U.S. House,2,R,Charles Bass,False,483
Franconia,Grafton,U.S. House,2,R,Charles Bass,False,291
Franklin,Merrimack,U.S. House,2,R,Charles Bass,False,1532
Gilsum,Cheshire,U.S. House,2,R,Charles Bass,False,181
Gorham,Coos,U.S. House,2,R,Charles Bass,False,564
Goshen,Sullivan,U.S. House,2,R,Charles Bass,False,202
Grafton,Grafton,U.S. House,2,R,Charles Bass,False,316
Grantham,Sullivan,U.S. House,2,R,Charles Bass,False,839
Green's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Greenfield,Hillsborough,U.S. House,2,R,Charles Bass,False,405
Greenville,Hillsborough,U.S. House,2,R,Charles Bass,False,398
Groton,Grafton,U.S. House,2,R,Charles Bass,False,139
Hadley's Purchase,Coos,U.S. House,2,R,Charles Bass,False,0
Hancock,Hillsborough,U.S. House,2,R,Charles Bass,False,501
Hanover,Grafton,U.S. House,2,R,Charles Bass,False,1713
Harrisville,Cheshire,U.S. House,2,R,Charles Bass,False,193
Haverhill,Grafton,U.S. House,2,R,Charles Bass,False,943
Hebron,Grafton,U.S. House,2,R,Charles Bass,False,229
Henniker,Merrimack,U.S. House,2,R,Charles Bass,False,1041
Hill,Merrimack,U.S. House,2,R,Charles Bass,False,270
Hillsborough,Hillsborough,U.S. House,2,R,Charles Bass,False,1207
Hinsdale,Cheshire,U.S. House,2,R,Charles Bass,False,506
Holderness,Grafton,U.S. House,2,R,Charles Bass,False,566
Hollis,Hillsborough,U.S. House,2,R,Charles Bass,False,2647
Hopkinton,Merrimack,U.S. House,2,R,Charles Bass,False,1488
Hudson,Hillsborough,U.S. House,2,R,Charles Bass,False,6025
Jaffrey,Cheshire,U.S. House,2,R,Charles Bass,False,1223
Jefferson,Coos,U.S. House,2,R,Charles Bass,False,313
Keene,Cheshire,U.S. House,2,R,Charles Bass,False,3684
Kilkenny,Coos,U.S. House,2,R,Charles Bass,False,0
Lancaster,Coos,U.S. House,2,R,Charles Bass,False,789
Landaff,Grafton,U.S. House,2,R,Charles Bass,False,116
Langdon,Sullivan,U.S. House,2,R,Charles Bass,False,157
Lebanon,Grafton,U.S. House,2,R,Charles Bass,False,2173
Lempster,Sullivan,U.S. House,2,R,Charles Bass,False,304
Lincoln,Grafton,U.S. House,2,R,Charles Bass,False,357
Lisbon,Grafton,U.S. House,2,R,Charles Bass,False,325
Litchfield,Hillsborough,U.S. House,2,R,Charles Bass,False,2479
Littleton,Grafton,U.S. House,2,R,Charles Bass,False,1390
Livermore,Grafton,U.S. House,2,R,Charles Bass,False,0
Loudon,Merrimack,U.S. House,2,R,Charles Bass,False,1533
Low & Burbank's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Lyman,Grafton,U.S. House,2,R,Charles Bass,False,131
Lyme,Grafton,U.S. House,2,R,Charles Bass,False,301
Lyndeborough,Hillsborough,U.S. House,2,R,Charles Bass,False,467
Marlborough,Cheshire,U.S. House,2,R,Charles Bass,False,350
Marlow,Cheshire,U.S. House,2,R,Charles Bass,False,166
Martin's Location,Coos,U.S. House,2,R,Charles Bass,False,0
Mason,Hillsborough,U.S. House,2,R,Charles Bass,False,455
Milan,Coos,U.S. House,2,R,Charles Bass,False,320
Milford,Hillsborough,U.S. House,2,R,Charles Bass,False,3723
Millsfield,Coos,U.S. House,2,R,Charles Bass,False,15
Monroe,Grafton,U.S. House,2,R,Charles Bass,False,264
Mont Vernon,Hillsborough,U.S. House,2,R,Charles Bass,False,752
Nashua,Hillsborough,U.S. House,2,R,Charles Bass,False,16972
Nelson,Cheshire,U.S. House,2,R,Charles Bass,False,160
New Boston,Hillsborough,U.S. House,2,R,Charles Bass,False,1659
New Ipswich,Hillsborough,U.S. House,2,R,Charles Bass,False,1607
New London,Merrimack,U.S. House,2,R,Charles Bass,False,1418
Newbury,Merrimack,U.S. House,2,R,Charles Bass,False,666
Newport,Sullivan,U.S. House,2,R,Charles Bass,False,1282
Northfield,Merrimack,U.S. House,2,R,Charles Bass,False,1011
Northumberland,Coos,U.S. House,2,R,Charles Bass,False,420
Northwood,Rockingham,U.S. House,2,R,Charles Bass,False,1169
Odell,Coos,U.S. House,2,R,Charles Bass,False,0
Orange,Grafton,U.S. House,2,R,Charles Bass,False,70
Orford,Grafton,U.S. House,2,R,Charles Bass,False,260
Pelham,Hillsborough,U.S. House,2,R,Charles Bass,False,3739
Pembroke,Merrimack,U.S. House,2,R,Charles Bass,False,1762
Peterborough,Hillsborough,U.S. House,2,R,Charles Bass,False,1387
Piermont,Grafton,U.S. House,2,R,Charles Bass,False,167
Pinkham's Grant,Coos,U.S. House,2,R,Charles Bass,False,0
Pittsburg,Coos,U.S. House,2,R,Charles Bass,False,299
Pittsfield,Merrimack,U.S. House,2,R,Charles Bass,False,925
Plainfield,Sullivan,U.S. House,2,R,Charles Bass,False,472
Plymouth,Grafton,U.S. House,2,R,Charles Bass,False,1261
Randolph,Coos,U.S. House,2,R,Charles Bass,False,82
Richmond,Cheshire,U.S. House,2,R,Charles Bass,False,307
Rindge,Cheshire,U.S. House,2,R,Charles Bass,False,1716
Roxbury,Cheshire,U.S. House,2,R,Charles Bass,False,40
Rumney,Grafton,U.S. House,2,R,Charles Bass,False,422
Salem,Rockingham,U.S. House,2,R,Charles Bass,False,7473
