town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,President,,REP,Mitt Romney,False,212
Albany,Carroll,President,,REP,Mitt Romney,False,157
Alexandria,Grafton,President,,REP,Mitt Romney,False,432
Allenstown,Merrimack,President,,REP,Mitt Romney,False,981
Alstead,Cheshire,President,,REP,Mitt Romney,False,383
Alton,Belknap,President,,REP,Mitt Romney,False,2147
Amherst,Hillsborough,President,,REP,Mitt Romney,False,3906
Andover,Merrimack,President,,REP,Mitt Romney,False,571
Antrim,Hillsborough,President,,REP,Mitt Romney,False,655
Ashland,Grafton,President,,REP,Mitt Romney,False,522
At. & Gil. Academy Grant,Coos,President,,REP,Mitt Romney,False,0
Atkinson,Rockingham,President,,REP,Mitt Romney,False,2691
Auburn,Rockingham,President,,REP,Mitt Romney,False,1996
Barnstead,Belknap,President,,REP,Mitt Romney,False,1254
Barrington,Strafford,President,,REP,Mitt Romney,False,2271
Bartlett,Carroll,President,,REP,Mitt Romney,False,774
Bath,Grafton,President,,REP,Mitt Romney,False,272
Bean's Grant,Coos,President,,REP,Mitt Romney,False,0
Bean's Purchase,Coos,President,,REP,Mitt Romney,False,0
Bedford,Hillsborough,President,,REP,Mitt Romney,False,7990
Belmont,Belknap,President,,REP,Mitt Romney,False,1816
Bennington,Hillsborough,President,,REP,Mitt Romney,False,363
Benton,Grafton,President,,REP,Mitt Romney,False,96
Berlin,Coos,President,,REP,Mitt Romney,False,1248
Bethlehem,Grafton,President,,REP,Mitt Romney,False,534
Boscawen,Merrimack,President,,REP,Mitt Romney,False,766
Bow,Merrimack,President,,REP,Mitt Romney,False,2352
Bradford,Merrimack,President,,REP,Mitt Romney,False,456
Brentwood,Rockingham,President,,REP,Mitt Romney,False,1301
Bridgewater,Grafton,President,,REP,Mitt Romney,False,352
Bristol,Grafton,President,,REP,Mitt Romney,False,821
Brookfield,Carroll,President,,REP,Mitt Romney,False,251
Brookline,Hillsborough,President,,REP,Mitt Romney,False,1623
Cambridge,Coos,President,,REP,Mitt Romney,False,1
Campton,Grafton,President,,REP,Mitt Romney,False,765
Canaan,Grafton,President,,REP,Mitt Romney,False,709
Candia,Rockingham,President,,REP,Mitt Romney,False,1528
Canterbury,Merrimack,President,,REP,Mitt Romney,False,629
Carroll,Coos,President,,REP,Mitt Romney,False,226
Center Harbor,Belknap,President,,REP,Mitt Romney,False,406
Chandler's Purchase,Coos,President,,REP,Mitt Romney,False,0
Charlestown,Sullivan,President,,REP,Mitt Romney,False,856
Chatham,Carroll,President,,REP,Mitt Romney,False,110
Chester,Rockingham,President,,REP,Mitt Romney,False,1622
Chesterfield,Cheshire,President,,REP,Mitt Romney,False,911
Chichester,Merrimack,President,,REP,Mitt Romney,False,784
Claremont,Sullivan,President,,REP,Mitt Romney,False,2147
Clarksville,Coos,President,,REP,Mitt Romney,False,83
Colebrook,Coos,President,,REP,Mitt Romney,False,506
Columbia,Coos,President,,REP,Mitt Romney,False,183
Concord,Merrimack,President,,REP,Mitt Romney,False,7325
Conway,Carroll,President,,REP,Mitt Romney,False,2046
Cornish,Sullivan,President,,REP,Mitt Romney,False,395
Crawford's Purchase,Coos,President,,REP,Mitt Romney,False,0
Croydon,Sullivan,President,,REP,Mitt Romney,False,233
Cutt's Grant,Coos,President,,REP,Mitt Romney,False,0
Dalton,Coos,President,,REP,Mitt Romney,False,240
Danbury,Merrimack,President,,REP,Mitt Romney,False,313
Danville,Rockingham,President,,REP,Mitt Romney,False,1356
Deerfield,Rockingham,President,,REP,Mitt Romney,False,1485
Deering,Hillsborough,President,,REP,Mitt Romney,False,505
Derry,Rockingham,President,,REP,Mitt Romney,False,8350
Dix's Grant,Coos,President,,REP,Mitt Romney,False,0
Dixville,Coos,President,,REP,Mitt Romney,False,5
Dorchester,Grafton,President,,REP,Mitt Romney,False,97
Dover,Strafford,President,,REP,Mitt Romney,False,6162
Dublin,Cheshire,President,,REP,Mitt Romney,False,375
Dummer,Coos,President,,REP,Mitt Romney,False,79
Dunbarton,Merrimack,President,,REP,Mitt Romney,False,958
Durham,Strafford,President,,REP,Mitt Romney,False,2217
East Kingston,Rockingham,President,,REP,Mitt Romney,False,916
Easton,Grafton,President,,REP,Mitt Romney,False,63
Eaton,Carroll,President,,REP,Mitt Romney,False,119
Effingham,Carroll,President,,REP,Mitt Romney,False,393
Ellsworth,Grafton,President,,REP,Mitt Romney,False,19
Enfield,Grafton,President,,REP,Mitt Romney,False,843
Epping,Rockingham,President,,REP,Mitt Romney,False,1697
Epsom,Merrimack,President,,REP,Mitt Romney,False,1333
Errol,Coos,President,,REP,Mitt Romney,False,96
Erving's Location,Coos,President,,REP,Mitt Romney,False,0
Exeter,Rockingham,President,,REP,Mitt Romney,False,3614
Farmington,Strafford,President,,REP,Mitt Romney,False,1429
Fitzwilliam,Cheshire,President,,REP,Mitt Romney,False,550
Francestown,Hillsborough,President,,REP,Mitt Romney,False,449
Franconia,Grafton,President,,REP,Mitt Romney,False,276
Franklin,Merrimack,President,,REP,Mitt Romney,False,1570
Freedom,Carroll,President,,REP,Mitt Romney,False,478
Fremont,Rockingham,President,,REP,Mitt Romney,False,1380
Gilford,Belknap,President,,REP,Mitt Romney,False,2448
Gilmanton,Belknap,President,,REP,Mitt Romney,False,1151
Gilsum,Cheshire,President,,REP,Mitt Romney,False,192
Goffstown,Hillsborough,President,,REP,Mitt Romney,False,4856
Gorham,Coos,President,,REP,Mitt Romney,False,524
Goshen,Sullivan,President,,REP,Mitt Romney,False,202
Grafton,Grafton,President,,REP,Mitt Romney,False,316
Grantham,Sullivan,President,,REP,Mitt Romney,False,831
Green's Grant,Coos,President,,REP,Mitt Romney,False,0
Greenfield,Hillsborough,President,,REP,Mitt Romney,False,394
Greenland,Rockingham,President,,REP,Mitt Romney,False,1159
Greenville,Hillsborough,President,,REP,Mitt Romney,False,424
Groton,Grafton,President,,REP,Mitt Romney,False,155
Hadley's Purchase,Coos,President,,REP,Mitt Romney,False,0
Hale's Location,Carroll,President,,REP,Mitt Romney,False,98
Hampstead,Rockingham,President,,REP,Mitt Romney,False,3217
Hampton,Rockingham,President,,REP,Mitt Romney,False,4742
Hampton Falls,Rockingham,President,,REP,Mitt Romney,False,917
Hancock,Hillsborough,President,,REP,Mitt Romney,False,465
Hanover,Grafton,President,,REP,Mitt Romney,False,1727
Harrisville,Cheshire,President,,REP,Mitt Romney,False,208
Hart's Location,Carroll,President,,REP,Mitt Romney,False,9
Haverhill,Grafton,President,,REP,Mitt Romney,False,975
Hebron,Grafton,President,,REP,Mitt Romney,False,222
Henniker,Merrimack,President,,REP,Mitt Romney,False,1009
Hill,Merrimack,President,,REP,Mitt Romney,False,267
Hillsborough,Hillsborough,President,,REP,Mitt Romney,False,1213
Hinsdale,Cheshire,President,,REP,Mitt Romney,False,504
Holderness,Grafton,President,,REP,Mitt Romney,False,547
Hollis,Hillsborough,President,,REP,Mitt Romney,False,2785
Hooksett,Merrimack,President,,REP,Mitt Romney,False,3968
Hopkinton,Merrimack,President,,REP,Mitt Romney,False,1471
Hudson,Hillsborough,President,,REP,Mitt Romney,False,6683
Jackson,Carroll,President,,REP,Mitt Romney,False,259
Jaffrey,Cheshire,President,,REP,Mitt Romney,False,1235
Jefferson,Coos,President,,REP,Mitt Romney,False,311
Keene,Cheshire,President,,REP,Mitt Romney,False,3613
Kensington,Rockingham,President,,REP,Mitt Romney,False,739
Kilkenny,Coos,President,,REP,Mitt Romney,False,0
Kingston,Rockingham,President,,REP,Mitt Romney,False,1854
Laconia,Belknap,President,,REP,Mitt Romney,False,3859
Lancaster,Coos,President,,REP,Mitt Romney,False,742
Landaff,Grafton,President,,REP,Mitt Romney,False,109
Langdon,Sullivan,President,,REP,Mitt Romney,False,164
Lebanon,Grafton,President,,REP,Mitt Romney,False,2060
Lee,Strafford,President,,REP,Mitt Romney,False,921
Lempster,Sullivan,President,,REP,Mitt Romney,False,316
Lincoln,Grafton,President,,REP,Mitt Romney,False,337
Lisbon,Grafton,President,,REP,Mitt Romney,False,322
Litchfield,Hillsborough,President,,REP,Mitt Romney,False,2703
Littleton,Grafton,President,,REP,Mitt Romney,False,1293
Livermore,Grafton,President,,REP,Mitt Romney,False,0
Londonderry,Rockingham,President,,REP,Mitt Romney,False,7323
Loudon,Merrimack,President,,REP,Mitt Romney,False,1546
Low & Burbank's Grant,Coos,President,,REP,Mitt Romney,False,0
Lyman,Grafton,President,,REP,Mitt Romney,False,140
Lyme,Grafton,President,,REP,Mitt Romney,False,274
Lyndeborough,Hillsborough,President,,REP,Mitt Romney,False,480
Madbury,Strafford,President,,REP,Mitt Romney,False,466
Madison,Carroll,President,,REP,Mitt Romney,False,596
Manchester,Hillsborough,President,,REP,Mitt Romney,False,20942
Marlborough,Cheshire,President,,REP,Mitt Romney,False,348
Marlow,Cheshire,President,,REP,Mitt Romney,False,154
Martin's Location,Coos,President,,REP,Mitt Romney,False,0
Mason,Hillsborough,President,,REP,Mitt Romney,False,476
Meredith,Belknap,President,,REP,Mitt Romney,False,2088
Merrimack,Hillsborough,President,,REP,Mitt Romney,False,7750
Middleton,Strafford,President,,REP,Mitt Romney,False,439
Milan,Coos,President,,REP,Mitt Romney,False,283
Milford,Hillsborough,President,,REP,Mitt Romney,False,3787
Millsfield,Coos,President,,REP,Mitt Romney,False,16
