town,county,office,district,party,candidate,winner,votes
Milton,Strafford,President,,REP,Mitt Romney,False,1124
Monroe,Grafton,President,,REP,Mitt Romney,False,267
Mont Vernon,Hillsborough,President,,REP,Mitt Romney,False,775
Moultonborough,Carroll,President,,REP,Mitt Romney,False,1822
Nashua,Hillsborough,President,,REP,Mitt Romney,False,17658
Nelson,Cheshire,President,,REP,Mitt Romney,False,150
New Boston,Hillsborough,President,,REP,Mitt Romney,False,1736
New Castle,Rockingham,President,,REP,Mitt Romney,False,419
New Durham,Strafford,President,,REP,Mitt Romney,False,889
New Hampton,Belknap,President,,REP,Mitt Romney,False,636
New Ipswich,Hillsborough,President,,REP,Mitt Romney,False,1696
New London,Merrimack,President,,REP,Mitt Romney,False,1384
Newbury,Merrimack,President,,REP,Mitt Romney,False,680
Newfields,Rockingham,President,,REP,Mitt Romney,False,564
Newington,Rockingham,President,,REP,Mitt Romney,False,298
Newmarket,Rockingham,President,,REP,Mitt Romney,False,1893
Newport,Sullivan,President,,REP,Mitt Romney,False,1310
Newton,Rockingham,President,,REP,Mitt Romney,False,1395
North Hampton,Rockingham,President,,REP,Mitt Romney,False,1558
Northfield,Merrimack,President,,REP,Mitt Romney,False,1013
Northumberland,Coos,President,,REP,Mitt Romney,False,366
Northwood,Rockingham,President,,REP,Mitt Romney,False,1189
Nottingham,Rockingham,President,,REP,Mitt Romney,False,1379
Odell,Coos,President,,REP,Mitt Romney,False,0
Orange,Grafton,President,,REP,Mitt Romney,False,72
Orford,Grafton,President,,REP,Mitt Romney,False,239
Ossipee,Carroll,President,,REP,Mitt Romney,False,1142
Pelham,Hillsborough,President,,REP,Mitt Romney,False,4184
Pembroke,Merrimack,President,,REP,Mitt Romney,False,1729
Peterborough,Hillsborough,President,,REP,Mitt Romney,False,1309
Piermont,Grafton,President,,REP,Mitt Romney,False,161
Pinkham's Grant,Coos,President,,REP,Mitt Romney,False,0
Pittsburg,Coos,President,,REP,Mitt Romney,False,317
Pittsfield,Merrimack,President,,REP,Mitt Romney,False,936
Plainfield,Sullivan,President,,REP,Mitt Romney,False,457
Plaistow,Rockingham,President,,REP,Mitt Romney,False,2387
Plymouth,Grafton,President,,REP,Mitt Romney,False,1111
Portsmouth,Rockingham,President,,REP,Mitt Romney,False,4088
Randolph,Coos,President,,REP,Mitt Romney,False,77
Raymond,Rockingham,President,,REP,Mitt Romney,False,2632
Richmond,Cheshire,President,,REP,Mitt Romney,False,325
Rindge,Cheshire,President,,REP,Mitt Romney,False,1716
Rochester,Strafford,President,,REP,Mitt Romney,False,6816
Rollinsford,Strafford,President,,REP,Mitt Romney,False,680
Roxbury,Cheshire,President,,REP,Mitt Romney,False,41
Rumney,Grafton,President,,REP,Mitt Romney,False,438
Rye,Rockingham,President,,REP,Mitt Romney,False,1873
Salem,Rockingham,President,,REP,Mitt Romney,False,8285
Salisbury,Merrimack,President,,REP,Mitt Romney,False,387
Sanbornton,Belknap,President,,REP,Mitt Romney,False,913
Sandown,Rockingham,President,,REP,Mitt Romney,False,1922
Sandwich,Carroll,President,,REP,Mitt Romney,False,403
Sargent's Purchase,Coos,President,,REP,Mitt Romney,False,0
Seabrook,Rockingham,President,,REP,Mitt Romney,False,2211
Second College Grant,Coos,President,,REP,Mitt Romney,False,0
Sharon,Hillsborough,President,,REP,Mitt Romney,False,91
Shelburne,Coos,President,,REP,Mitt Romney,False,118
Somersworth,Strafford,President,,REP,Mitt Romney,False,2101
South Hampton,Rockingham,President,,REP,Mitt Romney,False,322
Springfield,Sullivan,President,,REP,Mitt Romney,False,398
Stark,Coos,President,,REP,Mitt Romney,False,133
Stewartstown,Coos,President,,REP,Mitt Romney,False,193
Stoddard,Cheshire,President,,REP,Mitt Romney,False,337
Strafford,Strafford,President,,REP,Mitt Romney,False,1214
Stratford,Coos,President,,REP,Mitt Romney,False,105
Stratham,Rockingham,President,,REP,Mitt Romney,False,2395
Success,Coos,President,,REP,Mitt Romney,False,0
Sugar Hill,Grafton,President,,REP,Mitt Romney,False,153
Sullivan,Cheshire,President,,REP,Mitt Romney,False,148
Sunapee,Sullivan,President,,REP,Mitt Romney,False,1075
Surry,Cheshire,President,,REP,Mitt Romney,False,219
Sutton,Merrimack,President,,REP,Mitt Romney,False,545
Swanzey,Cheshire,President,,REP,Mitt Romney,False,1497
Tamworth,Carroll,President,,REP,Mitt Romney,False,718
Temple,Hillsborough,President,,REP,Mitt Romney,False,413
Thompson & Meserve's Pur.,Coos,President,,REP,Mitt Romney,False,0
Thornton,Grafton,President,,REP,Mitt Romney,False,611
Tilton,Belknap,President,,REP,Mitt Romney,False,853
Troy,Cheshire,President,,REP,Mitt Romney,False,413
Tuftonboro,Carroll,President,,REP,Mitt Romney,False,984
Unity,Sullivan,President,,REP,Mitt Romney,False,359
Wakefield,Carroll,President,,REP,Mitt Romney,False,1448
Walpole,Cheshire,President,,REP,Mitt Romney,False,793
Warner,Merrimack,President,,REP,Mitt Romney,False,694
Warren,Grafton,President,,REP,Mitt Romney,False,206
Washington,Sullivan,President,,REP,Mitt Romney,False,314
Waterville Valley,Grafton,President,,REP,Mitt Romney,False,105
Weare,Hillsborough,President,,REP,Mitt Romney,False,2592
Webster,Merrimack,President,,REP,Mitt Romney,False,496
Wentworth,Grafton,President,,REP,Mitt Romney,False,260
Wentworth's Location,Coos,President,,REP,Mitt Romney,False,12
Westmoreland,Cheshire,President,,REP,Mitt Romney,False,411
Whitefield,Coos,President,,REP,Mitt Romney,False,478
Wilmot,Merrimack,President,,REP,Mitt Romney,False,361
Wilton,Hillsborough,President,,REP,Mitt Romney,False,1022
Winchester,Cheshire,President,,REP,Mitt Romney,False,633
Windham,Rockingham,President,,REP,Mitt Romney,False,5224
Windsor,Hillsborough,President,,REP,Mitt Romney,False,66
Wolfeboro,Carroll,President,,REP,Mitt Romney,False,2400
Woodstock,Grafton,President,,REP,Mitt Romney,False,307
Acworth,Sullivan,President,,DEM,Barack Obama,True,316
Albany,Carroll,President,,DEM,Barack Obama,True,235
Alexandria,Grafton,President,,DEM,Barack Obama,True,472
Allenstown,Merrimack,President,,DEM,Barack Obama,True,1149
Alstead,Cheshire,President,,DEM,Barack Obama,True,634
Alton,Belknap,President,,DEM,Barack Obama,True,1207
Amherst,Hillsborough,President,,DEM,Barack Obama,True,3501
Andover,Merrimack,President,,DEM,Barack Obama,True,777
Antrim,Hillsborough,President,,DEM,Barack Obama,True,810
Ashland,Grafton,President,,DEM,Barack Obama,True,587
At. & Gil. Academy Grant,Coos,President,,DEM,Barack Obama,True,0
Atkinson,Rockingham,President,,DEM,Barack Obama,True,1630
Auburn,Rockingham,President,,DEM,Barack Obama,True,1219
Barnstead,Belknap,President,,DEM,Barack Obama,True,1125
Barrington,Strafford,President,,DEM,Barack Obama,True,2577
Bartlett,Carroll,President,,DEM,Barack Obama,True,1039
Bath,Grafton,President,,DEM,Barack Obama,True,264
Bean's Grant,Coos,President,,DEM,Barack Obama,True,0
Bean's Purchase,Coos,President,,DEM,Barack Obama,True,0
Bedford,Hillsborough,President,,DEM,Barack Obama,True,4713
Belmont,Belknap,President,,DEM,Barack Obama,True,1782
Bennington,Hillsborough,President,,DEM,Barack Obama,True,395
Benton,Grafton,President,,DEM,Barack Obama,True,79
Berlin,Coos,President,,DEM,Barack Obama,True,2863
Bethlehem,Grafton,President,,DEM,Barack Obama,True,862
Boscawen,Merrimack,President,,DEM,Barack Obama,True,1000
Bow,Merrimack,President,,DEM,Barack Obama,True,2509
Bradford,Merrimack,President,,DEM,Barack Obama,True,503
Brentwood,Rockingham,President,,DEM,Barack Obama,True,1093
Bridgewater,Grafton,President,,DEM,Barack Obama,True,343
Bristol,Grafton,President,,DEM,Barack Obama,True,779
Brookfield,Carroll,President,,DEM,Barack Obama,True,171
Brookline,Hillsborough,President,,DEM,Barack Obama,True,1278
Cambridge,Coos,President,,DEM,Barack Obama,True,2
Campton,Grafton,President,,DEM,Barack Obama,True,1050
Canaan,Grafton,President,,DEM,Barack Obama,True,1089
Candia,Rockingham,President,,DEM,Barack Obama,True,937
Canterbury,Merrimack,President,,DEM,Barack Obama,True,905
Carroll,Coos,President,,DEM,Barack Obama,True,274
Center Harbor,Belknap,President,,DEM,Barack Obama,True,308
Chandler's Purchase,Coos,President,,DEM,Barack Obama,True,0
Charlestown,Sullivan,President,,DEM,Barack Obama,True,1365
Chatham,Carroll,President,,DEM,Barack Obama,True,105
Chester,Rockingham,President,,DEM,Barack Obama,True,1082
Chesterfield,Cheshire,President,,DEM,Barack Obama,True,1251
Chichester,Merrimack,President,,DEM,Barack Obama,True,731
Claremont,Sullivan,President,,DEM,Barack Obama,True,3352
Clarksville,Coos,President,,DEM,Barack Obama,True,72
Colebrook,Coos,President,,DEM,Barack Obama,True,472
Columbia,Coos,President,,DEM,Barack Obama,True,155
Concord,Merrimack,President,,DEM,Barack Obama,True,14218
Conway,Carroll,President,,DEM,Barack Obama,True,2954
Cornish,Sullivan,President,,DEM,Barack Obama,True,635
Crawford's Purchase,Coos,President,,DEM,Barack Obama,True,0
Croydon,Sullivan,President,,DEM,Barack Obama,True,196
Cutt's Grant,Coos,President,,DEM,Barack Obama,True,0
Dalton,Coos,President,,DEM,Barack Obama,True,241
Danbury,Merrimack,President,,DEM,Barack Obama,True,307
Danville,Rockingham,President,,DEM,Barack Obama,True,983
Deerfield,Rockingham,President,,DEM,Barack Obama,True,1133
Deering,Hillsborough,President,,DEM,Barack Obama,True,508
Derry,Rockingham,President,,DEM,Barack Obama,True,7612
Dix's Grant,Coos,President,,DEM,Barack Obama,True,0
Dixville,Coos,President,,DEM,Barack Obama,True,5
Dorchester,Grafton,President,,DEM,Barack Obama,True,92
Dover,Strafford,President,,DEM,Barack Obama,True,9724
Dublin,Cheshire,President,,DEM,Barack Obama,True,671
Dummer,Coos,President,,DEM,Barack Obama,True,84
Dunbarton,Merrimack,President,,DEM,Barack Obama,True,794
Durham,Strafford,President,,DEM,Barack Obama,True,5074
East Kingston,Rockingham,President,,DEM,Barack Obama,True,592
Easton,Grafton,President,,DEM,Barack Obama,True,122
Eaton,Carroll,President,,DEM,Barack Obama,True,163
Effingham,Carroll,President,,DEM,Barack Obama,True,380
Ellsworth,Grafton,President,,DEM,Barack Obama,True,32
Enfield,Grafton,President,,DEM,Barack Obama,True,1542
Epping,Rockingham,President,,DEM,Barack Obama,True,1793
Epsom,Merrimack,President,,DEM,Barack Obama,True,1195
Errol,Coos,President,,DEM,Barack Obama,True,81
Erving's Location,Coos,President,,DEM,Barack Obama,True,0
Exeter,Rockingham,President,,DEM,Barack Obama,True,5194
Farmington,Strafford,President,,DEM,Barack Obama,True,1545
Fitzwilliam,Cheshire,President,,DEM,Barack Obama,True,753
Francestown,Hillsborough,President,,DEM,Barack Obama,True,538
Franconia,Grafton,President,,DEM,Barack Obama,True,479
Franklin,Merrimack,President,,DEM,Barack Obama,True,2059
Freedom,Carroll,President,,DEM,Barack Obama,True,438
Fremont,Rockingham,President,,DEM,Barack Obama,True,1039
Gilford,Belknap,President,,DEM,Barack Obama,True,2133
Gilmanton,Belknap,President,,DEM,Barack Obama,True,1013
Gilsum,Cheshire,President,,DEM,Barack Obama,True,231
Goffstown,Hillsborough,President,,DEM,Barack Obama,True,4231
Gorham,Coos,President,,DEM,Barack Obama,True,1020
Goshen,Sullivan,President,,DEM,Barack Obama,True,227
Grafton,Grafton,President,,DEM,Barack Obama,True,339
Grantham,Sullivan,President,,DEM,Barack Obama,True,1144
Green's Grant,Coos,President,,DEM,Barack Obama,True,1
Greenfield,Hillsborough,President,,DEM,Barack Obama,True,461
Greenland,Rockingham,President,,DEM,Barack Obama,True,1355
Greenville,Hillsborough,President,,DEM,Barack Obama,True,509
Groton,Grafton,President,,DEM,Barack Obama,True,139
Hadley's Purchase,Coos,President,,DEM,Barack Obama,True,0
Hale's Location,Carroll,President,,DEM,Barack Obama,True,28
Hampstead,Rockingham,President,,DEM,Barack Obama,True,2012
Hampton,Rockingham,President,,DEM,Barack Obama,True,4843
Hampton Falls,Rockingham,President,,DEM,Barack Obama,True,548
Hancock,Hillsborough,President,,DEM,Barack Obama,True,738
Hanover,Grafton,President,,DEM,Barack Obama,True,5469
Harrisville,Cheshire,President,,DEM,Barack Obama,True,478
Hart's Location,Carroll,President,,DEM,Barack Obama,True,23
Haverhill,Grafton,President,,DEM,Barack Obama,True,974
Hebron,Grafton,President,,DEM,Barack Obama,True,171
Henniker,Merrimack,President,,DEM,Barack Obama,True,1515
Hill,Merrimack,President,,DEM,Barack Obama,True,286
Hillsborough,Hillsborough,President,,DEM,Barack Obama,True,1490
Hinsdale,Cheshire,President,,DEM,Barack Obama,True,1227
Holderness,Grafton,President,,DEM,Barack Obama,True,755
Hollis,Hillsborough,President,,DEM,Barack Obama,True,2289
Hooksett,Merrimack,President,,DEM,Barack Obama,True,3319
Hopkinton,Merrimack,President,,DEM,Barack Obama,True,2264
Hudson,Hillsborough,President,,DEM,Barack Obama,True,5451
Jackson,Carroll,President,,DEM,Barack Obama,True,423
Jaffrey,Cheshire,President,,DEM,Barack Obama,True,1538
Jefferson,Coos,President,,DEM,Barack Obama,True,274
Keene,Cheshire,President,,DEM,Barack Obama,True,8718
Kensington,Rockingham,President,,DEM,Barack Obama,True,587
Kilkenny,Coos,President,,DEM,Barack Obama,True,0
Kingston,Rockingham,President,,DEM,Barack Obama,True,1518
Laconia,Belknap,President,,DEM,Barack Obama,True,3938
Lancaster,Coos,President,,DEM,Barack Obama,True,864
Landaff,Grafton,President,,DEM,Barack Obama,True,133
Langdon,Sullivan,President,,DEM,Barack Obama,True,223
Lebanon,Grafton,President,,DEM,Barack Obama,True,4772
Lee,Strafford,President,,DEM,Barack Obama,True,1621
Lempster,Sullivan,President,,DEM,Barack Obama,True,294
Lincoln,Grafton,President,,DEM,Barack Obama,True,446
Lisbon,Grafton,President,,DEM,Barack Obama,True,386
Litchfield,Hillsborough,President,,DEM,Barack Obama,True,1956
Littleton,Grafton,President,,DEM,Barack Obama,True,1566
Livermore,Grafton,President,,DEM,Barack Obama,True,0
Londonderry,Rockingham,President,,DEM,Barack Obama,True,5690
Loudon,Merrimack,President,,DEM,Barack Obama,True,1414
Low & Burbank's Grant,Coos,President,,DEM,Barack Obama,True,0
Lyman,Grafton,President,,DEM,Barack Obama,True,161
Lyme,Grafton,President,,DEM,Barack Obama,True,932
Lyndeborough,Hillsborough,President,,DEM,Barack Obama,True,535
Madbury,Strafford,President,,DEM,Barack Obama,True,673
Madison,Carroll,President,,DEM,Barack Obama,True,793
Manchester,Hillsborough,President,,DEM,Barack Obama,True,26227
Marlborough,Cheshire,President,,DEM,Barack Obama,True,801
Marlow,Cheshire,President,,DEM,Barack Obama,True,262
Martin's Location,Coos,President,,DEM,Barack Obama,True,0
Mason,Hillsborough,President,,DEM,Barack Obama,True,331
Meredith,Belknap,President,,DEM,Barack Obama,True,1853
Merrimack,Hillsborough,President,,DEM,Barack Obama,True,6832
Middleton,Strafford,President,,DEM,Barack Obama,True,416
Milan,Coos,President,,DEM,Barack Obama,True,435
Milford,Hillsborough,President,,DEM,Barack Obama,True,3954
Millsfield,Coos,President,,DEM,Barack Obama,True,5
Milton,Strafford,President,,DEM,Barack Obama,True,1104
Monroe,Grafton,President,,DEM,Barack Obama,True,216
Mont Vernon,Hillsborough,President,,DEM,Barack Obama,True,691
Moultonborough,Carroll,President,,DEM,Barack Obama,True,1204
Nashua,Hillsborough,President,,DEM,Barack Obama,True,23413
Nelson,Cheshire,President,,DEM,Barack Obama,True,295
New Boston,Hillsborough,President,,DEM,Barack Obama,True,1399
New Castle,Rockingham,President,,DEM,Barack Obama,True,396
New Durham,Strafford,President,,DEM,Barack Obama,True,699
New Hampton,Belknap,President,,DEM,Barack Obama,True,646
New Ipswich,Hillsborough,President,,DEM,Barack Obama,True,823
New London,Merrimack,President,,DEM,Barack Obama,True,1737
Newbury,Merrimack,President,,DEM,Barack Obama,True,664
Newfields,Rockingham,President,,DEM,Barack Obama,True,521
Newington,Rockingham,President,,DEM,Barack Obama,True,262
Newmarket,Rockingham,President,,DEM,Barack Obama,True,3230
Newport,Sullivan,President,,DEM,Barack Obama,True,1448
Newton,Rockingham,President,,DEM,Barack Obama,True,1104
North Hampton,Rockingham,President,,DEM,Barack Obama,True,1462
Northfield,Merrimack,President,,DEM,Barack Obama,True,1242
Northumberland,Coos,President,,DEM,Barack Obama,True,621
Northwood,Rockingham,President,,DEM,Barack Obama,True,1198
Nottingham,Rockingham,President,,DEM,Barack Obama,True,1364
Odell,Coos,President,,DEM,Barack Obama,True,0
Orange,Grafton,President,,DEM,Barack Obama,True,107
Orford,Grafton,President,,DEM,Barack Obama,True,455
Ossipee,Carroll,President,,DEM,Barack Obama,True,961
Pelham,Hillsborough,President,,DEM,Barack Obama,True,2870
Pembroke,Merrimack,President,,DEM,Barack Obama,True,2102
Peterborough,Hillsborough,President,,DEM,Barack Obama,True,2479
Piermont,Grafton,President,,DEM,Barack Obama,True,255
Pinkham's Grant,Coos,President,,DEM,Barack Obama,True,3
Pittsburg,Coos,President,,DEM,Barack Obama,True,180
Pittsfield,Merrimack,President,,DEM,Barack Obama,True,959
Plainfield,Sullivan,President,,DEM,Barack Obama,True,976
Plaistow,Rockingham,President,,DEM,Barack Obama,True,1709
Plymouth,Grafton,President,,DEM,Barack Obama,True,2313
Portsmouth,Rockingham,President,,DEM,Barack Obama,True,8848
Randolph,Coos,President,,DEM,Barack Obama,True,172
Raymond,Rockingham,President,,DEM,Barack Obama,True,2289
Richmond,Cheshire,President,,DEM,Barack Obama,True,330
Rindge,Cheshire,President,,DEM,Barack Obama,True,1410
Rochester,Strafford,President,,DEM,Barack Obama,True,7493
Rollinsford,Strafford,President,,DEM,Barack Obama,True,837
Roxbury,Cheshire,President,,DEM,Barack Obama,True,110
Rumney,Grafton,President,,DEM,Barack Obama,True,411
Rye,Rockingham,President,,DEM,Barack Obama,True,1930
Salem,Rockingham,President,,DEM,Barack Obama,True,6026
Salisbury,Merrimack,President,,DEM,Barack Obama,True,400
Sanbornton,Belknap,President,,DEM,Barack Obama,True,888
Sandown,Rockingham,President,,DEM,Barack Obama,True,1298
Sandwich,Carroll,President,,DEM,Barack Obama,True,609
Sargent's Purchase,Coos,President,,DEM,Barack Obama,True,0
Seabrook,Rockingham,President,,DEM,Barack Obama,True,2030
Second College Grant,Coos,President,,DEM,Barack Obama,True,0
