town,county,office,district,party,candidate,winner,votes
Albany,Carroll,U.S. House,1,R,Frank C. Guinta,False,148
Alton,Belknap,U.S. House,1,R,Frank C. Guinta,False,1995
Auburn,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1831
Barnstead,Belknap,U.S. House,1,R,Frank C. Guinta,False,1153
Barrington,Strafford,U.S. House,1,R,Frank C. Guinta,False,2125
Bartlett,Carroll,U.S. House,1,R,Frank C. Guinta,False,715
Bedford,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,7558
Belmont,Belknap,U.S. House,1,R,Frank C. Guinta,False,1740
Brentwood,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1180
Brookfield,Carroll,U.S. House,1,R,Frank C. Guinta,False,234
Campton,Grafton,U.S. House,1,R,Frank C. Guinta,False,735
Candia,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1443
Chatham,Carroll,U.S. House,1,R,Frank C. Guinta,False,91
Chester,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1455
Conway,Carroll,U.S. House,1,R,Frank C. Guinta,False,1893
Danville,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1170
Derry,Rockingham,U.S. House,1,R,Frank C. Guinta,False,7547
Dover,Strafford,U.S. House,1,R,Frank C. Guinta,False,5595
Durham,Strafford,U.S. House,1,R,Frank C. Guinta,False,1958
East Kingston,Rockingham,U.S. House,1,R,Frank C. Guinta,False,812
Eaton,Carroll,U.S. House,1,R,Frank C. Guinta,False,111
Effingham,Carroll,U.S. House,1,R,Frank C. Guinta,False,343
Epping,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1511
Exeter,Rockingham,U.S. House,1,R,Frank C. Guinta,False,3317
Farmington,Strafford,U.S. House,1,R,Frank C. Guinta,False,1296
Freedom,Carroll,U.S. House,1,R,Frank C. Guinta,False,455
Fremont,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1239
Gilford,Belknap,U.S. House,1,R,Frank C. Guinta,False,2227
Gilmanton,Belknap,U.S. House,1,R,Frank C. Guinta,False,1091
Goffstown,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,4545
Greenland,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1047
Hale's Location,Carroll,U.S. House,1,R,Frank C. Guinta,False,93
Hampstead,Rockingham,U.S. House,1,R,Frank C. Guinta,False,2842
Hampton,Rockingham,U.S. House,1,R,Frank C. Guinta,False,4226
Hampton Falls,Rockingham,U.S. House,1,R,Frank C. Guinta,False,868
Hart's Location,Carroll,U.S. House,1,R,Frank C. Guinta,False,9
Hooksett,Merrimack,U.S. House,1,R,Frank C. Guinta,False,3720
Jackson,Carroll,U.S. House,1,R,Frank C. Guinta,False,240
Kensington,Rockingham,U.S. House,1,R,Frank C. Guinta,False,665
Kingston,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1624
Laconia,Belknap,U.S. House,1,R,Frank C. Guinta,False,3640
Lee,Strafford,U.S. House,1,R,Frank C. Guinta,False,864
Londonderry,Rockingham,U.S. House,1,R,Frank C. Guinta,False,6540
Madbury,Strafford,U.S. House,1,R,Frank C. Guinta,False,439
Madison,Carroll,U.S. House,1,R,Frank C. Guinta,False,563
Manchester,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,20034
Meredith,Belknap,U.S. House,1,R,Frank C. Guinta,False,1922
Merrimack,Hillsborough,U.S. House,1,R,Frank C. Guinta,False,7152
Middleton,Strafford,U.S. House,1,R,Frank C. Guinta,False,394
Milton,Strafford,U.S. House,1,R,Frank C. Guinta,False,984
Moultonborough,Carroll,U.S. House,1,R,Frank C. Guinta,False,1716
New Castle,Rockingham,U.S. House,1,R,Frank C. Guinta,False,380
New Durham,Strafford,U.S. House,1,R,Frank C. Guinta,False,791
New Hampton,Belknap,U.S. House,1,R,Frank C. Guinta,False,603
Newfields,Rockingham,U.S. House,1,R,Frank C. Guinta,False,513
Newington,Rockingham,U.S. House,1,R,Frank C. Guinta,False,287
Newmarket,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1707
Newton,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1208
North Hampton,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1397
Nottingham,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1303
Ossipee,Carroll,U.S. House,1,R,Frank C. Guinta,False,1012
Plaistow,Rockingham,U.S. House,1,R,Frank C. Guinta,False,2012
Portsmouth,Rockingham,U.S. House,1,R,Frank C. Guinta,False,3596
Raymond,Rockingham,U.S. House,1,R,Frank C. Guinta,False,2419
Rochester,Strafford,U.S. House,1,R,Frank C. Guinta,False,5988
Rollinsford,Strafford,U.S. House,1,R,Frank C. Guinta,False,608
Rye,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1726
Sanbornton,Belknap,U.S. House,1,R,Frank C. Guinta,False,860
Sandown,Rockingham,U.S. House,1,R,Frank C. Guinta,False,1706
Sandwich,Carroll,U.S. House,1,R,Frank C. Guinta,False,368
