county,jurisdiction,candidate,party,office,district,votes
Belknap,Alton,Gary Bauer,Republican,President,,6
Belknap,Alton,"Samuel H. Berry, Jr",Republican,President,,0
Belknap,Alton,George W. Bush,Republican,President,,442
Belknap,Alton,Kenneth A. Capalbo,Republican,President,,0
Belknap,Alton,Steve Forbes,Republican,President,,231
Belknap,Alton,Mark 'Dick' Harnes,Republican,President,,0
Belknap,Alton,Orrin G. Hatch,Republican,President,,0
Belknap,Alton,Alan Lee Keyes,Republican,President,,84
Belknap,Alton,Andy Martin,Republican,President,,0
Belknap,Alton,John McCain,Republican,President,,648
Belknap,Alton,Timothy Lee Mosby,Republican,President,,0
Belknap,Alton,Tom Oyler,Republican,President,,0
Belknap,Alton,Richard C. Peet,Republican,President,,0
Belknap,Alton,Dorian Yeager,Republican,President,,0
Belknap,Alton,Bill Bradley,Republican,President,,8
Belknap,Alton,Charles Buckley,Republican,President,,0
Belknap,Alton,Willie F. Carter,Republican,President,,0
Belknap,Alton,Randolph 'Randy' W. Crow,Republican,President,,0
Belknap,Alton,John B. Eaton,Republican,President,,0
Belknap,Alton,Al Gore,Republican,President,,0
Belknap,Alton,Mark Greenstein,Republican,President,,0
Belknap,Alton,Vincent S. Hamm,Republican,President,,0
Belknap,Alton,Heather Harder,Republican,President,,0
Belknap,Alton,Thomas Koos,Republican,President,,0
Belknap,Alton,"Lyndon H. LaRouche, Jr",Republican,President,,0
Belknap,Alton,Nathaniel Thomas Mullins,Republican,President,,0
Belknap,Alton,"Edward T. O'Donnell, Jr",Republican,President,,0
Belknap,Alton,Jeffrey B. Peters,Republican,President,,0
Belknap,Alton,Michael Skok,Republican,President,,0
Belknap,Alton,Jim Taylor,Republican,President,,0
Belknap,Alton,Scattered,Republican,President,,0
Belknap,Alton,Elizabeth Dole,Republican,President,,0
Belknap,Barnstead,Gary Bauer,Republican,President,,5
Belknap,Barnstead,"Samuel H. Berry, Jr",Republican,President,,1
Belknap,Barnstead,George W. Bush,Republican,President,,218
Belknap,Barnstead,Kenneth A. Capalbo,Republican,President,,0
Belknap,Barnstead,Steve Forbes,Republican,President,,144
Belknap,Barnstead,Mark 'Dick' Harnes,Republican,President,,0
Belknap,Barnstead,Orrin G. Hatch,Republican,President,,1
Belknap,Barnstead,Alan Lee Keyes,Republican,President,,101
Belknap,Barnstead,Andy Martin,Republican,President,,1
Belknap,Barnstead,John McCain,Republican,President,,383
Belknap,Barnstead,Timothy Lee Mosby,Republican,President,,0
Belknap,Barnstead,Tom Oyler,Republican,President,,0
Belknap,Barnstead,Richard C. Peet,Republican,President,,0
Belknap,Barnstead,Dorian Yeager,Republican,President,,2
Belknap,Barnstead,Bill Bradley,Republican,President,,0
Belknap,Barnstead,Charles Buckley,Republican,President,,0
Belknap,Barnstead,Willie F. Carter,Republican,President,,0
Belknap,Barnstead,Randolph 'Randy' W. Crow,Republican,President,,0
Belknap,Barnstead,John B. Eaton,Republican,President,,0
Belknap,Barnstead,Al Gore,Republican,President,,3
Belknap,Barnstead,Mark Greenstein,Republican,President,,0
Belknap,Barnstead,Vincent S. Hamm,Republican,President,,0
Belknap,Barnstead,Heather Harder,Republican,President,,0
Belknap,Barnstead,Thomas Koos,Republican,President,,0
Belknap,Barnstead,"Lyndon H. LaRouche, Jr",Republican,President,,0
Belknap,Barnstead,Nathaniel Thomas Mullins,Republican,President,,0
Belknap,Barnstead,"Edward T. O'Donnell, Jr",Republican,President,,0
Belknap,Barnstead,Jeffrey B. Peters,Republican,President,,0
Belknap,Barnstead,Michael Skok,Republican,President,,0
Belknap,Barnstead,Jim Taylor,Republican,President,,0
Belknap,Barnstead,Scattered,Republican,President,,0
Belknap,Barnstead,Elizabeth Dole,Republican,President,,0
Belknap,Belmont,Gary Bauer,Republican,President,,7
Belknap,Belmont,"Samuel H. Berry, Jr",Republican,President,,1
