county,jurisdiction,candidate,party,office,district,votes
Belknap,Meredith,Willie Felix Carter,Democratic,President,,0
Belknap,Meredith,Randolph W. Crow,Democratic,President,,0
Belknap,Meredith,John B. Eaton,Democratic,President,,1.0
Belknap,Meredith,Albert Gore Jr.,Democratic,President,,277.0
Belknap,Meredith,Mark Greenstein,Democratic,President,,0
Belknap,Meredith,Vincent S. Hamm,Democratic,President,,0
Belknap,New Hampton,Bill Bradley,Democratic,President,,145.0
Belknap,New Hampton,Charles Buckley,Democratic,President,,1.0
Belknap,New Hampton,Willie Felix Carter,Democratic,President,,0
Belknap,New Hampton,Randolph W. Crow,Democratic,President,,0
Belknap,New Hampton,John B. Eaton,Democratic,President,,0
Belknap,New Hampton,Albert Gore Jr.,Democratic,President,,100.0
Belknap,New Hampton,Mark Greenstein,Democratic,President,,1.0
Belknap,New Hampton,Vincent S. Hamm,Democratic,President,,0
Belknap,Sanbornton,Bill Bradley,Democratic,President,,181.0
Belknap,Sanbornton,Charles Buckley,Democratic,President,,1.0
Belknap,Sanbornton,Willie Felix Carter,Democratic,President,,0
Belknap,Sanbornton,Randolph W. Crow,Democratic,President,,0
Belknap,Sanbornton,John B. Eaton,Democratic,President,,0
Belknap,Sanbornton,Albert Gore Jr.,Democratic,President,,158.0
Belknap,Sanbornton,Mark Greenstein,Democratic,President,,0
Belknap,Sanbornton,Vincent S. Hamm,Democratic,President,,0
Belknap,Tilton,Bill Bradley,Democratic,President,,134.0
Belknap,Tilton,Charles Buckley,Democratic,President,,0
Belknap,Tilton,Willie Felix Carter,Democratic,President,,0
Belknap,Tilton,Randolph W. Crow,Democratic,President,,0
Belknap,Tilton,John B. Eaton,Democratic,President,,0
Belknap,Tilton,Albert Gore Jr.,Democratic,President,,202.0
Belknap,Tilton,Mark Greenstein,Democratic,President,,0
Belknap,Tilton,Vincent S. Hamm,Democratic,President,,0
Belknap,,Bill Bradley,Democratic,President,,2711.0
Belknap,,Charles Buckley,Democratic,President,,13.0
Belknap,,Willie Felix Carter,Democratic,President,,0
Belknap,,Randolph W. Crow,Democratic,President,,0
Belknap,,John B. Eaton,Democratic,President,,7.0
Belknap,,Albert Gore Jr.,Democratic,President,,2837.0
Belknap,,Mark Greenstein,Democratic,President,,4.0
Belknap,,Vincent S. Hamm,Democratic,President,,0
Belknap,Alton,Heather A. Harder,Democratic,President,,0
Belknap,Alton,Thomas Koos,Democratic,President,,0
Belknap,Alton,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Alton,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Alton,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Alton,Jeffrey B. Peters,Democratic,President,,1.0
Belknap,Alton,Michael Skok,Democratic,President,,0
Belknap,Alton,Jim Taylor,Democratic,President,,1.0
Belknap,Barnstead,Heather A. Harder,Democratic,President,,3.0
Belknap,Barnstead,Thomas Koos,Democratic,President,,0
Belknap,Barnstead,Lyndon LaRouche Jr.,Democratic,President,,1.0
Belknap,Barnstead,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Barnstead,Edward T. O'Donnell Jr.,Democratic,President,,1.0
Belknap,Barnstead,Jeffrey B. Peters,Democratic,President,,2.0
Belknap,Barnstead,Michael Skok,Democratic,President,,0
Belknap,Barnstead,Jim Taylor,Democratic,President,,0
Belknap,Belmont,Heather A. Harder,Democratic,President,,0
Belknap,Belmont,Thomas Koos,Democratic,President,,0
Belknap,Belmont,Lyndon LaRouche Jr.,Democratic,President,,1.0
Belknap,Belmont,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Belmont,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Belmont,Jeffrey B. Peters,Democratic,President,,0
Belknap,Belmont,Michael Skok,Democratic,President,,0
Belknap,Belmont,Jim Taylor,Democratic,President,,0
Belknap,Center Harbor,Heather A. Harder,Democratic,President,,0
Belknap,Center Harbor,Thomas Koos,Democratic,President,,0
Belknap,Center Harbor,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Center Harbor,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Center Harbor,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Center Harbor,Jeffrey B. Peters,Democratic,President,,0
Belknap,Center Harbor,Michael Skok,Democratic,President,,0
Belknap,Center Harbor,Jim Taylor,Democratic,President,,0
Belknap,Gilford,Heather A. Harder,Democratic,President,,0
Belknap,Gilford,Thomas Koos,Democratic,President,,0
Belknap,Gilford,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Gilford,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Gilford,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Gilford,Jeffrey B. Peters,Democratic,President,,1.0
Belknap,Gilford,Michael Skok,Democratic,President,,0
Belknap,Gilford,Jim Taylor,Democratic,President,,1.0
Belknap,Gilmanton,Heather A. Harder,Democratic,President,,2.0
Belknap,Gilmanton,Thomas Koos,Democratic,President,,0
Belknap,Gilmanton,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Gilmanton,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Gilmanton,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Gilmanton,Jeffrey B. Peters,Democratic,President,,0
Belknap,Gilmanton,Michael Skok,Democratic,President,,0
Belknap,Gilmanton,Jim Taylor,Democratic,President,,0
Belknap,Laconia Wd 1,Heather A. Harder,Democratic,President,,0
Belknap,Laconia Wd 1,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 1,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Laconia Wd 1,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 1,Edward T. O'Donnell Jr.,Democratic,President,,1.0
Belknap,Laconia Wd 1,Jeffrey B. Peters,Democratic,President,,0
Belknap,Laconia Wd 1,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 1,Jim Taylor,Democratic,President,,0
Belknap,Laconia Wd 2,Heather A. Harder,Democratic,President,,0
Belknap,Laconia Wd 2,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 2,Lyndon LaRouche Jr.,Democratic,President,,1.0
Belknap,Laconia Wd 2,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 2,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Laconia Wd 2,Jeffrey B. Peters,Democratic,President,,0
Belknap,Laconia Wd 2,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 2,Jim Taylor,Democratic,President,,1.0
Belknap,Laconia Wd 3,Heather A. Harder,Democratic,President,,0
Belknap,Laconia Wd 3,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 3,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Laconia Wd 3,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 3,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Laconia Wd 3,Jeffrey B. Peters,Democratic,President,,0
Belknap,Laconia Wd 3,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 3,Jim Taylor,Democratic,President,,0
Belknap,Laconia Wd 4,Heather A. Harder,Democratic,President,,0
Belknap,Laconia Wd 4,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 4,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Laconia Wd 4,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 4,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Laconia Wd 4,Jeffrey B. Peters,Democratic,President,,1.0
Belknap,Laconia Wd 4,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 4,Jim Taylor,Democratic,President,,0
Belknap,Laconia Wd 5,Heather A. Harder,Democratic,President,,1.0
Belknap,Laconia Wd 5,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 5,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Laconia Wd 5,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 5,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Laconia Wd 5,Jeffrey B. Peters,Democratic,President,,1.0
Belknap,Laconia Wd 5,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 5,Jim Taylor,Democratic,President,,0
Belknap,Laconia Wd 6,Heather A. Harder,Democratic,President,,0
Belknap,Laconia Wd 6,Thomas Koos,Democratic,President,,0
Belknap,Laconia Wd 6,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Laconia Wd 6,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Laconia Wd 6,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Laconia Wd 6,Jeffrey B. Peters,Democratic,President,,1.0
Belknap,Laconia Wd 6,Michael Skok,Democratic,President,,0
Belknap,Laconia Wd 6,Jim Taylor,Democratic,President,,0
Belknap,Meredith,Heather A. Harder,Democratic,President,,0
Belknap,Meredith,Thomas Koos,Democratic,President,,1.0
Belknap,Meredith,Lyndon LaRouche Jr.,Democratic,President,,1.0
Belknap,Meredith,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Meredith,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Meredith,Jeffrey B. Peters,Democratic,President,,0
Belknap,Meredith,Michael Skok,Democratic,President,,0
Belknap,Meredith,Jim Taylor,Democratic,President,,0
Belknap,New Hampton,Heather A. Harder,Democratic,President,,0
Belknap,New Hampton,Thomas Koos,Democratic,President,,0
Belknap,New Hampton,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,New Hampton,Nathaniel T. Mullins,Democratic,President,,0
Belknap,New Hampton,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,New Hampton,Jeffrey B. Peters,Democratic,President,,0
Belknap,New Hampton,Michael Skok,Democratic,President,,0
Belknap,New Hampton,Jim Taylor,Democratic,President,,0
Belknap,Sanbornton,Heather A. Harder,Democratic,President,,2.0
Belknap,Sanbornton,Thomas Koos,Democratic,President,,0
Belknap,Sanbornton,Lyndon LaRouche Jr.,Democratic,President,,0
Belknap,Sanbornton,Nathaniel T. Mullins,Democratic,President,,1.0
Belknap,Sanbornton,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Sanbornton,Jeffrey B. Peters,Democratic,President,,0
Belknap,Sanbornton,Michael Skok,Democratic,President,,0
Belknap,Sanbornton,Jim Taylor,Democratic,President,,1.0
Belknap,Tilton,Heather A. Harder,Democratic,President,,0
Belknap,Tilton,Thomas Koos,Democratic,President,,0
Belknap,Tilton,Lyndon LaRouche Jr.,Democratic,President,,1.0
Belknap,Tilton,Nathaniel T. Mullins,Democratic,President,,0
Belknap,Tilton,Edward T. O'Donnell Jr.,Democratic,President,,0
Belknap,Tilton,Jeffrey B. Peters,Democratic,President,,0
Belknap,Tilton,Michael Skok,Democratic,President,,0
Belknap,Tilton,Jim Taylor,Democratic,President,,0
Belknap,,Heather A. Harder,Democratic,President,,8.0
Belknap,,Thomas Koos,Democratic,President,,1.0
Belknap,,Lyndon LaRouche Jr.,Democratic,President,,5.0
Belknap,,Nathaniel T. Mullins,Democratic,President,,1.0
Belknap,,Edward T. O'Donnell Jr.,Democratic,President,,2.0
Belknap,,Jeffrey B. Peters,Democratic,President,,7.0
Belknap,,Michael Skok,Democratic,President,,0
Belknap,,Jim Taylor,Democratic,President,,4.0
Belknap,Alton,Gary Bauer,Republican,President,,0
Belknap,Alton,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Alton,George W. Bush,Republican,President,,5.0
Belknap,Alton,Kenneth A. Capalbo,Republican,President,,0
Belknap,Alton,Steve Forbes,Republican,President,,2.0
Belknap,Alton,Mark Dick Harnes,Republican,President,,0
Belknap,Alton,Orrin Hatch,Republican,President,,0
Belknap,Alton,Alan Keyes,Republican,President,,1.0
Belknap,Barnstead,Gary Bauer,Republican,President,,0
Belknap,Barnstead,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Barnstead,George W. Bush,Republican,President,,0
Belknap,Barnstead,Kenneth A. Capalbo,Republican,President,,0
Belknap,Barnstead,Steve Forbes,Republican,President,,2.0
Belknap,Barnstead,Mark Dick Harnes,Republican,President,,0
Belknap,Barnstead,Orrin Hatch,Republican,President,,0
Belknap,Barnstead,Alan Keyes,Republican,President,,5.0
Belknap,Belmont,Gary Bauer,Republican,President,,0
Belknap,Belmont,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Belmont,George W. Bush,Republican,President,,7.0
Belknap,Belmont,Kenneth A. Capalbo,Republican,President,,0
Belknap,Belmont,Steve Forbes,Republican,President,,11.0
Belknap,Belmont,Mark Dick Harnes,Republican,President,,0
Belknap,Belmont,Orrin Hatch,Republican,President,,0
Belknap,Belmont,Alan Keyes,Republican,President,,5.0
Belknap,Center Harbor,Gary Bauer,Republican,President,,0
Belknap,Center Harbor,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Center Harbor,George W. Bush,Republican,President,,0
Belknap,Center Harbor,Kenneth A. Capalbo,Republican,President,,0
Belknap,Center Harbor,Steve Forbes,Republican,President,,1.0
Belknap,Center Harbor,Mark Dick Harnes,Republican,President,,0
Belknap,Center Harbor,Orrin Hatch,Republican,President,,0
Belknap,Center Harbor,Alan Keyes,Republican,President,,0
Belknap,Gilford,Gary Bauer,Republican,President,,0
Belknap,Gilford,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Gilford,George W. Bush,Republican,President,,11.0
Belknap,Gilford,Kenneth A. Capalbo,Republican,President,,0
Belknap,Gilford,Steve Forbes,Republican,President,,10.0
Belknap,Gilford,Mark Dick Harnes,Republican,President,,0
Belknap,Gilford,Orrin Hatch,Republican,President,,0
Belknap,Gilford,Alan Keyes,Republican,President,,1.0
Belknap,Gilmanton,Gary Bauer,Republican,President,,0
Belknap,Gilmanton,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Gilmanton,George W. Bush,Republican,President,,1.0
Belknap,Gilmanton,Kenneth A. Capalbo,Republican,President,,0
Belknap,Gilmanton,Steve Forbes,Republican,President,,10.0
Belknap,Gilmanton,Mark Dick Harnes,Republican,President,,0
Belknap,Gilmanton,Orrin Hatch,Republican,President,,0
Belknap,Gilmanton,Alan Keyes,Republican,President,,1.0
Belknap,Laconia Wd 1,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 1,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 1,George W. Bush,Republican,President,,5.0
Belknap,Laconia Wd 1,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 1,Steve Forbes,Republican,President,,0
Belknap,Laconia Wd 1,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 1,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 1,Alan Keyes,Republican,President,,0
Belknap,Laconia Wd 2,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 2,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 2,George W. Bush,Republican,President,,0
Belknap,Laconia Wd 2,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 2,Steve Forbes,Republican,President,,0
Belknap,Laconia Wd 2,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 2,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 2,Alan Keyes,Republican,President,,0
Belknap,Laconia Wd 3,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 3,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 3,George W. Bush,Republican,President,,1.0
Belknap,Laconia Wd 3,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 3,Steve Forbes,Republican,President,,2.0
Belknap,Laconia Wd 3,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 3,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 3,Alan Keyes,Republican,President,,1.0
Belknap,Laconia Wd 4,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 4,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 4,George W. Bush,Republican,President,,0
Belknap,Laconia Wd 4,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 4,Steve Forbes,Republican,President,,2.0
Belknap,Laconia Wd 4,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 4,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 4,Alan Keyes,Republican,President,,2.0
Belknap,Laconia Wd 5,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 5,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 5,George W. Bush,Republican,President,,5.0
Belknap,Laconia Wd 5,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 5,Steve Forbes,Republican,President,,8.0
Belknap,Laconia Wd 5,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 5,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 5,Alan Keyes,Republican,President,,1.0
Belknap,Laconia Wd 6,Gary Bauer,Republican,President,,0
Belknap,Laconia Wd 6,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Laconia Wd 6,George W. Bush,Republican,President,,1.0
Belknap,Laconia Wd 6,Kenneth A. Capalbo,Republican,President,,0
Belknap,Laconia Wd 6,Steve Forbes,Republican,President,,2.0
Belknap,Laconia Wd 6,Mark Dick Harnes,Republican,President,,0
Belknap,Laconia Wd 6,Orrin Hatch,Republican,President,,0
Belknap,Laconia Wd 6,Alan Keyes,Republican,President,,5.0
Belknap,Meredith,Gary Bauer,Republican,President,,0
Belknap,Meredith,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Meredith,George W. Bush,Republican,President,,3.0
Belknap,Meredith,Kenneth A. Capalbo,Republican,President,,0
Belknap,Meredith,Steve Forbes,Republican,President,,9.0
Belknap,Meredith,Mark Dick Harnes,Republican,President,,0
Belknap,Meredith,Orrin Hatch,Republican,President,,0
Belknap,Meredith,Alan Keyes,Republican,President,,4.0
Belknap,New Hampton,Gary Bauer,Republican,President,,0
Belknap,New Hampton,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,New Hampton,George W. Bush,Republican,President,,3.0
Belknap,New Hampton,Kenneth A. Capalbo,Republican,President,,0
Belknap,New Hampton,Steve Forbes,Republican,President,,1.0
Belknap,New Hampton,Mark Dick Harnes,Republican,President,,0
Belknap,New Hampton,Orrin Hatch,Republican,President,,0
Belknap,New Hampton,Alan Keyes,Republican,President,,0
Belknap,Sanbornton,Gary Bauer,Republican,President,,0
Belknap,Sanbornton,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Sanbornton,George W. Bush,Republican,President,,3.0
Belknap,Sanbornton,Kenneth A. Capalbo,Republican,President,,0
Belknap,Sanbornton,Steve Forbes,Republican,President,,3.0
Belknap,Sanbornton,Mark Dick Harnes,Republican,President,,0
Belknap,Sanbornton,Orrin Hatch,Republican,President,,0
Belknap,Sanbornton,Alan Keyes,Republican,President,,3.0
Belknap,Tilton,Gary Bauer,Republican,President,,0
Belknap,Tilton,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,Tilton,George W. Bush,Republican,President,,4.0
Belknap,Tilton,Kenneth A. Capalbo,Republican,President,,0
Belknap,Tilton,Steve Forbes,Republican,President,,0
Belknap,Tilton,Mark Dick Harnes,Republican,President,,0
Belknap,Tilton,Orrin Hatch,Republican,President,,0
Belknap,Tilton,Alan Keyes,Republican,President,,0
Belknap,,Gary Bauer,Republican,President,,0
Belknap,,"Samuel H. Berry, Jr.",Republican,President,,0
Belknap,,George W. Bush,Republican,President,,49.0
Belknap,,Kenneth A. Capalbo,Republican,President,,0
Belknap,,Steve Forbes,Republican,President,,63.0
Belknap,,Mark Dick Harnes,Republican,President,,0
Belknap,,Orrin Hatch,Republican,President,,0
Belknap,,Alan Keyes,Republican,President,,29.0
Belknap,Alton,Andy Martin,Republican,President,,0
Belknap,Alton,John McCain,Republican,President,,19.0
Belknap,Alton,Timothy Lee Mosby,Republican,President,,0
Belknap,Alton,Tom Oyler,Republican,President,,0
Belknap,Alton,Richard C. Peet,Republican,President,,0
Belknap,Alton,Dorian Yeager,Republican,President,,0
Belknap,Alton,Scatter,,President,,0
Belknap,Barnstead,Andy Martin,Republican,President,,0
Belknap,Barnstead,John McCain,Republican,President,,3.0
Belknap,Barnstead,Timothy Lee Mosby,Republican,President,,0
Belknap,Barnstead,Tom Oyler,Republican,President,,0
Belknap,Barnstead,Richard C. Peet,Republican,President,,0
Belknap,Barnstead,Dorian Yeager,Republican,President,,0
Belknap,Barnstead,Scatter,,President,,0
Belknap,Belmont,Andy Martin,Republican,President,,0
Belknap,Belmont,John McCain,Republican,President,,43.0
Belknap,Belmont,Timothy Lee Mosby,Republican,President,,0
Belknap,Belmont,Tom Oyler,Republican,President,,0
Belknap,Belmont,Richard C. Peet,Republican,President,,0
Belknap,Belmont,Dorian Yeager,Republican,President,,0
Belknap,Belmont,Scatter,,President,,0
Belknap,Center Harbor,Andy Martin,Republican,President,,0
Belknap,Center Harbor,John McCain,Republican,President,,1.0
Belknap,Center Harbor,Timothy Lee Mosby,Republican,President,,0
Belknap,Center Harbor,Tom Oyler,Republican,President,,0
Belknap,Center Harbor,Richard C. Peet,Republican,President,,0
Belknap,Center Harbor,Dorian Yeager,Republican,President,,0
Belknap,Center Harbor,Scatter,,President,,0
