county,jurisdiction,candidate,party,office,district,votes
Belknap,Alton,Bill Bradley,Democratic,President,,209.0
Belknap,Alton,Charles Buckley,Democratic,President,,4.0
Belknap,Alton,Willie Felix Carter,Democratic,President,,0
Belknap,Alton,Randolph W. Crow,Democratic,President,,0
Belknap,Alton,John B. Eaton,Democratic,President,,0
Belknap,Alton,Albert Gore Jr.,Democratic,President,,172.0
Belknap,Alton,Mark Greenstein,Democratic,President,,0
Belknap,Alton,Vincent S. Hamm,Democratic,President,,0
Belknap,Barnstead,Bill Bradley,Democratic,President,,195.0
Belknap,Barnstead,Charles Buckley,Democratic,President,,1.0
Belknap,Barnstead,Willie Felix Carter,Democratic,President,,0
Belknap,Barnstead,Randolph W. Crow,Democratic,President,,0
Belknap,Barnstead,John B. Eaton,Democratic,President,,0
Belknap,Barnstead,Albert Gore Jr.,Democratic,President,,205.0
Belknap,Barnstead,Mark Greenstein,Democratic,President,,1.0
Belknap,Barnstead,Vincent S. Hamm,Democratic,President,,0
Belknap,Belmont,Bill Bradley,Democratic,President,,186.0
Belknap,Belmont,Charles Buckley,Democratic,President,,2.0
Belknap,Belmont,Willie Felix Carter,Democratic,President,,0
Belknap,Belmont,Randolph W. Crow,Democratic,President,,0
Belknap,Belmont,John B. Eaton,Democratic,President,,3.0
Belknap,Belmont,Albert Gore Jr.,Democratic,President,,294.0
Belknap,Belmont,Mark Greenstein,Democratic,President,,1.0
Belknap,Belmont,Vincent S. Hamm,Democratic,President,,0
Belknap,Center Harbor,Bill Bradley,Democratic,President,,62.0
Belknap,Center Harbor,Charles Buckley,Democratic,President,,0
Belknap,Center Harbor,Willie Felix Carter,Democratic,President,,0
Belknap,Center Harbor,Randolph W. Crow,Democratic,President,,0
Belknap,Center Harbor,John B. Eaton,Democratic,President,,0
Belknap,Center Harbor,Albert Gore Jr.,Democratic,President,,62.0
Belknap,Center Harbor,Mark Greenstein,Democratic,President,,0
Belknap,Center Harbor,Vincent S. Hamm,Democratic,President,,0
Belknap,Gilford,Bill Bradley,Democratic,President,,394.0
Belknap,Gilford,Charles Buckley,Democratic,President,,3.0
Belknap,Gilford,Willie Felix Carter,Democratic,President,,0
Belknap,Gilford,Randolph W. Crow,Democratic,President,,0
Belknap,Gilford,John B. Eaton,Democratic,President,,0
Belknap,Gilford,Albert Gore Jr.,Democratic,President,,345.0
Belknap,Gilford,Mark Greenstein,Democratic,President,,0
Belknap,Gilford,Vincent S. Hamm,Democratic,President,,0
Belknap,Gilmanton,Bill Bradley,Democratic,President,,156.0
Belknap,Gilmanton,Charles Buckley,Democratic,President,,0
Belknap,Gilmanton,Willie Felix Carter,Democratic,President,,0
Belknap,Gilmanton,Randolph W. Crow,Democratic,President,,0
Belknap,Gilmanton,John B. Eaton,Democratic,President,,1.0
Belknap,Gilmanton,Albert Gore Jr.,Democratic,President,,138.0
Belknap,Gilmanton,Mark Greenstein,Democratic,President,,0
Belknap,Gilmanton,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 1,Bill Bradley,Democratic,President,,168.0
Belknap,Laconia Wd 1,Charles Buckley,Democratic,President,,0
Belknap,Laconia Wd 1,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 1,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 1,John B. Eaton,Democratic,President,,0
Belknap,Laconia Wd 1,Albert Gore Jr.,Democratic,President,,122.0
Belknap,Laconia Wd 1,Mark Greenstein,Democratic,President,,0
Belknap,Laconia Wd 1,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 2,Bill Bradley,Democratic,President,,125.0
Belknap,Laconia Wd 2,Charles Buckley,Democratic,President,,0
Belknap,Laconia Wd 2,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 2,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 2,John B. Eaton,Democratic,President,,1.0
Belknap,Laconia Wd 2,Albert Gore Jr.,Democratic,President,,173.0
Belknap,Laconia Wd 2,Mark Greenstein,Democratic,President,,1.0
Belknap,Laconia Wd 2,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 3,Bill Bradley,Democratic,President,,164.0
Belknap,Laconia Wd 3,Charles Buckley,Democratic,President,,0
Belknap,Laconia Wd 3,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 3,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 3,John B. Eaton,Democratic,President,,0
Belknap,Laconia Wd 3,Albert Gore Jr.,Democratic,President,,119.0
Belknap,Laconia Wd 3,Mark Greenstein,Democratic,President,,0
Belknap,Laconia Wd 3,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 4,Bill Bradley,Democratic,President,,96.0
Belknap,Laconia Wd 4,Charles Buckley,Democratic,President,,1.0
Belknap,Laconia Wd 4,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 4,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 4,John B. Eaton,Democratic,President,,1.0
Belknap,Laconia Wd 4,Albert Gore Jr.,Democratic,President,,155.0
Belknap,Laconia Wd 4,Mark Greenstein,Democratic,President,,0
Belknap,Laconia Wd 4,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 5,Bill Bradley,Democratic,President,,93.0
Belknap,Laconia Wd 5,Charles Buckley,Democratic,President,,0
Belknap,Laconia Wd 5,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 5,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 5,John B. Eaton,Democratic,President,,0
Belknap,Laconia Wd 5,Albert Gore Jr.,Democratic,President,,154.0
Belknap,Laconia Wd 5,Mark Greenstein,Democratic,President,,0
Belknap,Laconia Wd 5,Vincent S. Hamm,Democratic,President,,0
Belknap,Laconia Wd 6,Bill Bradley,Democratic,President,,121.0
Belknap,Laconia Wd 6,Charles Buckley,Democratic,President,,0
Belknap,Laconia Wd 6,Willie Felix Carter,Democratic,President,,0
Belknap,Laconia Wd 6,Randolph W. Crow,Democratic,President,,0
Belknap,Laconia Wd 6,John B. Eaton,Democratic,President,,0
Belknap,Laconia Wd 6,Albert Gore Jr.,Democratic,President,,161.0
Belknap,Laconia Wd 6,Mark Greenstein,Democratic,President,,0
Belknap,Laconia Wd 6,Vincent S. Hamm,Democratic,President,,0
Belknap,Meredith,Bill Bradley,Democratic,President,,282.0
Belknap,Meredith,Charles Buckley,Democratic,President,,0
