"county","jurisdiction","candidate","party","office","district","votes"
"Belknap","Laconia Ward 4","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Laconia Ward 4","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Laconia Ward 4","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 4","Jim Squires","Republican","Governor",,
"Belknap","Laconia Ward 4","Scatter",,"Governor",,
"Belknap","Laconia Ward 5","Mark Fernald","Democratic","Governor",,36
"Belknap","Laconia Ward 5","Jeanne Shaheen","Democratic","Governor",,112
"Belknap","Laconia Ward 5","Fred Bramante","Republican","Governor",,
"Belknap","Laconia Ward 5","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Laconia Ward 5","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Laconia Ward 5","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 5","Jim Squires","Republican","Governor",,2
"Belknap","Laconia Ward 5","Scatter",,"Governor",,1
"Belknap","Laconia Ward 6","Mark Fernald","Democratic","Governor",,32
"Belknap","Laconia Ward 6","Jeanne Shaheen","Democratic","Governor",,100
"Belknap","Laconia Ward 6","Fred Bramante","Republican","Governor",,
"Belknap","Laconia Ward 6","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Laconia Ward 6","Gordon J. Humphrey","Republican","Governor",,4
"Belknap","Laconia Ward 6","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 6","Jim Squires","Republican","Governor",,
"Belknap","Laconia Ward 6","Scatter",,"Governor",,1
"Belknap","Meredith","Mark Fernald","Democratic","Governor",,82
"Belknap","Meredith","Jeanne Shaheen","Democratic","Governor",,202
"Belknap","Meredith","Fred Bramante","Republican","Governor",,
"Belknap","Meredith","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Meredith","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Meredith","Jim Marron","Republican","Governor",,
"Belknap","Meredith","Jim Squires","Republican","Governor",,4
"Belknap","Meredith","Scatter",,"Governor",,
"Belknap","New Hampton","Mark Fernald","Democratic","Governor",,71
"Belknap","New Hampton","Jeanne Shaheen","Democratic","Governor",,69
"Belknap","New Hampton","Fred Bramante","Republican","Governor",,
"Belknap","New Hampton","Jeffrey R. Howard","Republican","Governor",,
"Belknap","New Hampton","Gordon J. Humphrey","Republican","Governor",,3
"Belknap","New Hampton","Jim Marron","Republican","Governor",,
"Belknap","New Hampton","Jim Squires","Republican","Governor",,
"Belknap","New Hampton","Scatter",,"Governor",,
"Belknap","Sanbornton","Mark Fernald","Democratic","Governor",,67
"Belknap","Sanbornton","Jeanne Shaheen","Democratic","Governor",,91
"Belknap","Sanbornton","Fred Bramante","Republican","Governor",,
"Belknap","Sanbornton","Jeffrey R. Howard","Republican","Governor",,4
"Belknap","Sanbornton","Gordon J. Humphrey","Republican","Governor",,2
"Belknap","Sanbornton","Jim Marron","Republican","Governor",,
"Belknap","Sanbornton","Jim Squires","Republican","Governor",,
"Belknap","Sanbornton","Scatter",,"Governor",,
"Belknap","Tilton","Mark Fernald","Democratic","Governor",,54
"Belknap","Tilton","Jeanne Shaheen","Democratic","Governor",,134
"Belknap","Tilton","Fred Bramante","Republican","Governor",,
"Belknap","Tilton","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Tilton","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Tilton","Jim Marron","Republican","Governor",,
"Belknap","Tilton","Jim Squires","Republican","Governor",,1
"Belknap","Tilton","Scatter",,"Governor",,
"Belknap",,"Mark Fernald","Democratic","Governor",,972
"Belknap",,"Jeanne Shaheen","Democratic","Governor",,1994
"Belknap",,"Fred Bramante","Republican","Governor",,2
"Belknap",,"Jeffrey R. Howard","Republican","Governor",,9
"Belknap",,"Gordon J. Humphrey","Republican","Governor",,21
"Belknap",,"Jim Marron","Republican","Governor",,
"Belknap",,"Jim Squires","Republican","Governor",,18
"Belknap",,"Scatter",,"Governor",,4
"Carroll","Albany","Mark Fernald","Democratic","Governor",,19
"Carroll","Albany","Jeanne Shaheen","Democratic","Governor",,26
"Carroll","Albany","Fred Bramante","Republican","Governor",,
"Carroll","Albany","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Albany","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Albany","Jim Marron","Republican","Governor",,
"Carroll","Albany","Jim Squires","Republican","Governor",,
"Carroll","Albany","Scatter",,"Governor",,
"Carroll","Bartlett","Mark Fernald","Democratic","Governor",,51
"Carroll","Bartlett","Jeanne Shaheen","Democratic","Governor",,109
"Carroll","Bartlett","Fred Bramante","Republican","Governor",,
"Carroll","Bartlett","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Bartlett","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Bartlett","Jim Marron","Republican","Governor",,
"Carroll","Bartlett","Jim Squires","Republican","Governor",,
"Carroll","Bartlett","Scatter",,"Governor",,
"Carroll","Brookfield","Mark Fernald","Democratic","Governor",,16
"Carroll","Brookfield","Jeanne Shaheen","Democratic","Governor",,14
"Carroll","Brookfield","Fred Bramante","Republican","Governor",,
"Carroll","Brookfield","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Brookfield","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Brookfield","Jim Marron","Republican","Governor",,
"Carroll","Brookfield","Jim Squires","Republican","Governor",,2
"Carroll","Brookfield","Scatter",,"Governor",,
"Carroll","Chatham","Mark Fernald","Democratic","Governor",,6
"Carroll","Chatham","Jeanne Shaheen","Democratic","Governor",,8
"Carroll","Chatham","Fred Bramante","Republican","Governor",,
"Carroll","Chatham","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Chatham","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Chatham","Jim Marron","Republican","Governor",,
"Carroll","Chatham","Jim Squires","Republican","Governor",,
"Carroll","Chatham","Scatter",,"Governor",,
"Carroll","Conway","Mark Fernald","Democratic","Governor",,114
"Carroll","Conway","Jeanne Shaheen","Democratic","Governor",,243
"Carroll","Conway","Fred Bramante","Republican","Governor",,
"Carroll","Conway","Jeffrey R. Howard","Republican","Governor",,2
"Carroll","Conway","Gordon J. Humphrey","Republican","Governor",,1
"Carroll","Conway","Jim Marron","Republican","Governor",,
"Carroll","Conway","Jim Squires","Republican","Governor",,
"Carroll","Conway","Scatter",,"Governor",,
"Carroll","Eaton","Mark Fernald","Democratic","Governor",,11
"Carroll","Eaton","Jeanne Shaheen","Democratic","Governor",,21
"Carroll","Eaton","Fred Bramante","Republican","Governor",,
"Carroll","Eaton","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Eaton","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Eaton","Jim Marron","Republican","Governor",,
"Carroll","Eaton","Jim Squires","Republican","Governor",,
"Carroll","Eaton","Scatter",,"Governor",,
"Carroll","Effingham","Mark Fernald","Democratic","Governor",,17
"Carroll","Effingham","Jeanne Shaheen","Democratic","Governor",,41
"Carroll","Effingham","Fred Bramante","Republican","Governor",,
"Carroll","Effingham","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Effingham","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Effingham","Jim Marron","Republican","Governor",,
"Carroll","Effingham","Jim Squires","Republican","Governor",,1
"Carroll","Effingham","Scatter",,"Governor",,
"Carroll","Freedom","Mark Fernald","Democratic","Governor",,37
"Carroll","Freedom","Jeanne Shaheen","Democratic","Governor",,43
"Carroll","Freedom","Fred Bramante","Republican","Governor",,
"Carroll","Freedom","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Freedom","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Freedom","Jim Marron","Republican","Governor",,
"Carroll","Freedom","Jim Squires","Republican","Governor",,
"Carroll","Freedom","Scatter",,"Governor",,
"Carroll","Hale's Location","Mark Fernald","Democratic","Governor",,0
"Carroll","Hale's Location","Jeanne Shaheen","Democratic","Governor",,1
"Carroll","Hale's Location","Fred Bramante","Republican","Governor",,
"Carroll","Hale's Location","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Hale's Location","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Hale's Location","Jim Marron","Republican","Governor",,
"Carroll","Hale's Location","Jim Squires","Republican","Governor",,
"Carroll","Hale's Location","Scatter",,"Governor",,
"Carroll","Hart's Location","Mark Fernald","Democratic","Governor",,2
"Carroll","Hart's Location","Jeanne Shaheen","Democratic","Governor",,2
"Carroll","Hart's Location","Fred Bramante","Republican","Governor",,
"Carroll","Hart's Location","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Hart's Location","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Hart's Location","Jim Marron","Republican","Governor",,
"Carroll","Hart's Location","Jim Squires","Republican","Governor",,
"Carroll","Hart's Location","Scatter",,"Governor",,
"Carroll","Jackson","Mark Fernald","Democratic","Governor",,63
"Carroll","Jackson","Jeanne Shaheen","Democratic","Governor",,44
"Carroll","Jackson","Fred Bramante","Republican","Governor",,
"Carroll","Jackson","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Jackson","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Jackson","Jim Marron","Republican","Governor",,
"Carroll","Jackson","Jim Squires","Republican","Governor",,
"Carroll","Jackson","Scatter",,"Governor",,
"Carroll","Madison","Mark Fernald","Democratic","Governor",,25
"Carroll","Madison","Jeanne Shaheen","Democratic","Governor",,56
"Carroll","Madison","Fred Bramante","Republican","Governor",,
"Carroll","Madison","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Madison","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Madison","Jim Marron","Republican","Governor",,
"Carroll","Madison","Jim Squires","Republican","Governor",,
"Carroll","Madison","Scatter",,"Governor",,
"Carroll","Moultonborough","Mark Fernald","Democratic","Governor",,128
"Carroll","Moultonborough","Jeanne Shaheen","Democratic","Governor",,84
"Carroll","Moultonborough","Fred Bramante","Republican","Governor",,
"Carroll","Moultonborough","Jeffrey R. Howard","Republican","Governor",,1
"Carroll","Moultonborough","Gordon J. Humphrey","Republican","Governor",,2
"Carroll","Moultonborough","Jim Marron","Republican","Governor",,
"Carroll","Moultonborough","Jim Squires","Republican","Governor",,3
"Carroll","Moultonborough","Scatter",,"Governor",,
"Carroll","Ossipee","Mark Fernald","Democratic","Governor",,35
"Carroll","Ossipee","Jeanne Shaheen","Democratic","Governor",,107
"Carroll","Ossipee","Fred Bramante","Republican","Governor",,
"Carroll","Ossipee","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Ossipee","Gordon J. Humphrey","Republican","Governor",,1
"Carroll","Ossipee","Jim Marron","Republican","Governor",,
"Carroll","Ossipee","Jim Squires","Republican","Governor",,
"Carroll","Ossipee","Scatter",,"Governor",,
"Carroll","Sandwich","Mark Fernald","Democratic","Governor",,135
"Carroll","Sandwich","Jeanne Shaheen","Democratic","Governor",,36
"Carroll","Sandwich","Fred Bramante","Republican","Governor",,
"Carroll","Sandwich","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Sandwich","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Sandwich","Jim Marron","Republican","Governor",,
"Carroll","Sandwich","Jim Squires","Republican","Governor",,
"Carroll","Sandwich","Scatter",,"Governor",,
"Carroll","Tamworth","Mark Fernald","Democratic","Governor",,65
"Carroll","Tamworth","Jeanne Shaheen","Democratic","Governor",,103
"Carroll","Tamworth","Fred Bramante","Republican","Governor",,
"Carroll","Tamworth","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Tamworth","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Tamworth","Jim Marron","Republican","Governor",,
"Carroll","Tamworth","Jim Squires","Republican","Governor",,
"Carroll","Tamworth","Scatter",,"Governor",,
"Carroll","Tuftonboro","Mark Fernald","Democratic","Governor",,34
"Carroll","Tuftonboro","Jeanne Shaheen","Democratic","Governor",,46
"Carroll","Tuftonboro","Fred Bramante","Republican","Governor",,
"Carroll","Tuftonboro","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Tuftonboro","Gordon J. Humphrey","Republican","Governor",,2
"Carroll","Tuftonboro","Jim Marron","Republican","Governor",,
"Carroll","Tuftonboro","Jim Squires","Republican","Governor",,
"Carroll","Tuftonboro","Scatter",,"Governor",,
"Carroll","Wakefield","Mark Fernald","Democratic","Governor",,30
"Carroll","Wakefield","Jeanne Shaheen","Democratic","Governor",,106
"Carroll","Wakefield","Fred Bramante","Republican","Governor",,
"Carroll","Wakefield","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Wakefield","Gordon J. Humphrey","Republican","Governor",,2
"Carroll","Wakefield","Jim Marron","Republican","Governor",,
"Carroll","Wakefield","Jim Squires","Republican","Governor",,
"Carroll","Wakefield","Scatter",,"Governor",,
"Carroll","Wolfeboro","Mark Fernald","Democratic","Governor",,111
"Carroll","Wolfeboro","Jeanne Shaheen","Democratic","Governor",,131
"Carroll","Wolfeboro","Fred Bramante","Republican","Governor",,
"Carroll","Wolfeboro","Jeffrey R. Howard","Republican","Governor",,
"Carroll","Wolfeboro","Gordon J. Humphrey","Republican","Governor",,
"Carroll","Wolfeboro","Jim Marron","Republican","Governor",,
"Carroll","Wolfeboro","Jim Squires","Republican","Governor",,
"Carroll","Wolfeboro","Scatter",,"Governor",,
"Carroll",,"Mark Fernald","Democratic","Governor",,899
"Carroll",,"Jeanne Shaheen","Democratic","Governor",,1221
"Carroll",,"Fred Bramante","Republican","Governor",,
"Carroll",,"Jeffrey R. Howard","Republican","Governor",,3
"Carroll",,"Gordon J. Humphrey","Republican","Governor",,8
"Carroll",,"Jim Marron","Republican","Governor",,
"Carroll",,"Jim Squires","Republican","Governor",,6
"Carroll",,"Scatter",,"Governor",,
"Cheshire","Alstead","Mark Fernald","Democratic","Governor",,126
"Cheshire","Alstead","Jeanne Shaheen","Democratic","Governor",,55
"Cheshire","Alstead","Fred Bramante","Republican","Governor",,
"Cheshire","Alstead","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Alstead","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Alstead","Jim Marron","Republican","Governor",,
"Cheshire","Alstead","Jim Squires","Republican","Governor",,
"Cheshire","Alstead","Scatter",,"Governor",,1
"Cheshire","Chesterfield","Mark Fernald","Democratic","Governor",,141
"Cheshire","Chesterfield","Jeanne Shaheen","Democratic","Governor",,111
"Cheshire","Chesterfield","Fred Bramante","Republican","Governor",,
"Cheshire","Chesterfield","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Chesterfield","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Chesterfield","Jim Marron","Republican","Governor",,
"Cheshire","Chesterfield","Jim Squires","Republican","Governor",,1
"Cheshire","Chesterfield","Scatter",,"Governor",,
"Cheshire","Dublin","Mark Fernald","Democratic","Governor",,128
"Cheshire","Dublin","Jeanne Shaheen","Democratic","Governor",,56
"Cheshire","Dublin","Fred Bramante","Republican","Governor",,
"Cheshire","Dublin","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Dublin","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Dublin","Jim Marron","Republican","Governor",,
"Cheshire","Dublin","Jim Squires","Republican","Governor",,
"Cheshire","Dublin","Scatter",,"Governor",,
"Cheshire","Fitzwilliam","Mark Fernald","Democratic","Governor",,118
"Cheshire","Fitzwilliam","Jeanne Shaheen","Democratic","Governor",,38
"Cheshire","Fitzwilliam","Fred Bramante","Republican","Governor",,
"Cheshire","Fitzwilliam","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Fitzwilliam","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Fitzwilliam","Jim Marron","Republican","Governor",,
"Cheshire","Fitzwilliam","Jim Squires","Republican","Governor",,
"Cheshire","Fitzwilliam","Scatter",,"Governor",,
"Cheshire","Gilsum","Mark Fernald","Democratic","Governor",,22
"Cheshire","Gilsum","Jeanne Shaheen","Democratic","Governor",,13
"Cheshire","Gilsum","Fred Bramante","Republican","Governor",,
"Cheshire","Gilsum","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Gilsum","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Gilsum","Jim Marron","Republican","Governor",,
"Cheshire","Gilsum","Jim Squires","Republican","Governor",,
"Cheshire","Gilsum","Scatter",,"Governor",,
"Cheshire","Harrisville","Mark Fernald","Democratic","Governor",,129
"Cheshire","Harrisville","Jeanne Shaheen","Democratic","Governor",,43
"Cheshire","Harrisville","Fred Bramante","Republican","Governor",,
"Cheshire","Harrisville","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Harrisville","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Harrisville","Jim Marron","Republican","Governor",,
"Cheshire","Harrisville","Jim Squires","Republican","Governor",,
"Cheshire","Harrisville","Scatter",,"Governor",,
"Cheshire","Hinsdale","Mark Fernald","Democratic","Governor",,24
"Cheshire","Hinsdale","Jeanne Shaheen","Democratic","Governor",,98
"Cheshire","Hinsdale","Fred Bramante","Republican","Governor",,
"Cheshire","Hinsdale","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Hinsdale","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Hinsdale","Jim Marron","Republican","Governor",,
"Cheshire","Hinsdale","Jim Squires","Republican","Governor",,
"Cheshire","Hinsdale","Scatter",,"Governor",,
"Cheshire","Jaffrey","Mark Fernald","Democratic","Governor",,282
"Cheshire","Jaffrey","Jeanne Shaheen","Democratic","Governor",,159
"Cheshire","Jaffrey","Fred Bramante","Republican","Governor",,
"Cheshire","Jaffrey","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Jaffrey","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Jaffrey","Jim Marron","Republican","Governor",,
"Cheshire","Jaffrey","Jim Squires","Republican","Governor",,
"Cheshire","Jaffrey","Scatter",,"Governor",,
"Cheshire","Keene Ward 1","Mark Fernald","Democratic","Governor",,149
"Cheshire","Keene Ward 1","Jeanne Shaheen","Democratic","Governor",,136
"Cheshire","Keene Ward 1","Fred Bramante","Republican","Governor",,
"Cheshire","Keene Ward 1","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Keene Ward 1","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Keene Ward 1","Jim Marron","Republican","Governor",,
"Cheshire","Keene Ward 1","Jim Squires","Republican","Governor",,
"Cheshire","Keene Ward 1","Scatter",,"Governor",,
"Cheshire","Keene Ward 2","Mark Fernald","Democratic","Governor",,218
"Cheshire","Keene Ward 2","Jeanne Shaheen","Democratic","Governor",,178
"Cheshire","Keene Ward 2","Fred Bramante","Republican","Governor",,1
"Cheshire","Keene Ward 2","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Keene Ward 2","Gordon J. Humphrey","Republican","Governor",,2
"Cheshire","Keene Ward 2","Jim Marron","Republican","Governor",,
"Cheshire","Keene Ward 2","Jim Squires","Republican","Governor",,
"Cheshire","Keene Ward 2","Scatter",,"Governor",,
"Cheshire","Keene Ward 3","Mark Fernald","Democratic","Governor",,178
"Cheshire","Keene Ward 3","Jeanne Shaheen","Democratic","Governor",,213
"Cheshire","Keene Ward 3","Fred Bramante","Republican","Governor",,
"Cheshire","Keene Ward 3","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Keene Ward 3","Gordon J. Humphrey","Republican","Governor",,4
"Cheshire","Keene Ward 3","Jim Marron","Republican","Governor",,
"Cheshire","Keene Ward 3","Jim Squires","Republican","Governor",,
"Cheshire","Keene Ward 3","Scatter",,"Governor",,1
"Cheshire","Keene Ward 4","Mark Fernald","Democratic","Governor",,173
"Cheshire","Keene Ward 4","Jeanne Shaheen","Democratic","Governor",,197
"Cheshire","Keene Ward 4","Fred Bramante","Republican","Governor",,
"Cheshire","Keene Ward 4","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Keene Ward 4","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Keene Ward 4","Jim Marron","Republican","Governor",,
"Cheshire","Keene Ward 4","Jim Squires","Republican","Governor",,
"Cheshire","Keene Ward 4","Scatter",,"Governor",,
"Cheshire","Keene Ward 5","Mark Fernald","Democratic","Governor",,244
"Cheshire","Keene Ward 5","Jeanne Shaheen","Democratic","Governor",,171
"Cheshire","Keene Ward 5","Fred Bramante","Republican","Governor",,
"Cheshire","Keene Ward 5","Jeffrey R. Howard","Republican","Governor",,1
"Cheshire","Keene Ward 5","Gordon J. Humphrey","Republican","Governor",,1
"Cheshire","Keene Ward 5","Jim Marron","Republican","Governor",,
"Cheshire","Keene Ward 5","Jim Squires","Republican","Governor",,2
"Cheshire","Keene Ward 5","Scatter",,"Governor",,
"Cheshire","Marlborough","Mark Fernald","Democratic","Governor",,139
"Cheshire","Marlborough","Jeanne Shaheen","Democratic","Governor",,77
"Cheshire","Marlborough","Fred Bramante","Republican","Governor",,
"Cheshire","Marlborough","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Marlborough","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Marlborough","Jim Marron","Republican","Governor",,
"Cheshire","Marlborough","Jim Squires","Republican","Governor",,
"Cheshire","Marlborough","Scatter",,"Governor",,
"Cheshire","Marlow","Mark Fernald","Democratic","Governor",,44
"Cheshire","Marlow","Jeanne Shaheen","Democratic","Governor",,30
"Cheshire","Marlow","Fred Bramante","Republican","Governor",,
"Cheshire","Marlow","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Marlow","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Marlow","Jim Marron","Republican","Governor",,
"Cheshire","Marlow","Jim Squires","Republican","Governor",,1
"Cheshire","Marlow","Scatter",,"Governor",,
"Cheshire","Nelson","Mark Fernald","Democratic","Governor",,62
"Cheshire","Nelson","Jeanne Shaheen","Democratic","Governor",,30
"Cheshire","Nelson","Fred Bramante","Republican","Governor",,
"Cheshire","Nelson","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Nelson","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Nelson","Jim Marron","Republican","Governor",,
"Cheshire","Nelson","Jim Squires","Republican","Governor",,11
"Cheshire","Nelson","Scatter",,"Governor",,1
"Cheshire","Richmond","Mark Fernald","Democratic","Governor",,51
"Cheshire","Richmond","Jeanne Shaheen","Democratic","Governor",,16
"Cheshire","Richmond","Fred Bramante","Republican","Governor",,
"Cheshire","Richmond","Jeffrey R. Howard","Republican","Governor",,
"Cheshire","Richmond","Gordon J. Humphrey","Republican","Governor",,
"Cheshire","Richmond","Jim Marron","Republican","Governor",,
"Cheshire","Richmond","Jim Squires","Republican","Governor",,
"Cheshire","Richmond","Scatter",,"Governor",,
"Cheshire","Rindge","Mark Fernald","Democratic","Governor",,132
"Cheshire","Rindge","Jeanne Shaheen","Democratic","Governor",,109
"Cheshire","Rindge","Fred Bramante","Republican","Governor",,
"Cheshire","Rindge","Jeffrey R. Howard","Republican","Governor",,
