"county","jurisdiction","candidate","party","office","district","votes"
"Belknap","Alton","Mark Fernald","Democratic","Governor",,75
"Belknap","Alton","Jeanne Shaheen","Democratic","Governor",,96
"Belknap","Alton","Fred Bramante","Republican","Governor",,
"Belknap","Alton","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Alton","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Alton","Jim Marron","Republican","Governor",,
"Belknap","Alton","Jim Squires","Republican","Governor",,1
"Belknap","Alton","Scatter",,"Governor",,1
"Belknap","Barnstead","Mark Fernald","Democratic","Governor",,90
"Belknap","Barnstead","Jeanne Shaheen","Democratic","Governor",,143
"Belknap","Barnstead","Fred Bramante","Republican","Governor",,
"Belknap","Barnstead","Jeffrey R. Howard","Republican","Governor",,1
"Belknap","Barnstead","Gordon J. Humphrey","Republican","Governor",,2
"Belknap","Barnstead","Jim Marron","Republican","Governor",,
"Belknap","Barnstead","Jim Squires","Republican","Governor",,1
"Belknap","Barnstead","Scatter",,"Governor",,
"Belknap","Belmont","Mark Fernald","Democratic","Governor",,60
"Belknap","Belmont","Jeanne Shaheen","Democratic","Governor",,184
"Belknap","Belmont","Fred Bramante","Republican","Governor",,
"Belknap","Belmont","Jeffrey R. Howard","Republican","Governor",,1
"Belknap","Belmont","Gordon J. Humphrey","Republican","Governor",,3
"Belknap","Belmont","Jim Marron","Republican","Governor",,
"Belknap","Belmont","Jim Squires","Republican","Governor",,4
"Belknap","Belmont","Scatter",,"Governor",,
"Belknap","Center Harbor","Mark Fernald","Democratic","Governor",,36
"Belknap","Center Harbor","Jeanne Shaheen","Democratic","Governor",,32
"Belknap","Center Harbor","Fred Bramante","Republican","Governor",,
"Belknap","Center Harbor","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Center Harbor","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Center Harbor","Jim Marron","Republican","Governor",,
"Belknap","Center Harbor","Jim Squires","Republican","Governor",,1
"Belknap","Center Harbor","Scatter",,"Governor",,
"Belknap","Gilford","Mark Fernald","Democratic","Governor",,109
"Belknap","Gilford","Jeanne Shaheen","Democratic","Governor",,263
"Belknap","Gilford","Fred Bramante","Republican","Governor",,2
"Belknap","Gilford","Jeffrey R. Howard","Republican","Governor",,1
"Belknap","Gilford","Gordon J. Humphrey","Republican","Governor",,5
"Belknap","Gilford","Jim Marron","Republican","Governor",,
"Belknap","Gilford","Jim Squires","Republican","Governor",,1
"Belknap","Gilford","Scatter",,"Governor",,1
"Belknap","Gilmanton","Mark Fernald","Democratic","Governor",,96
"Belknap","Gilmanton","Jeanne Shaheen","Democratic","Governor",,94
"Belknap","Gilmanton","Fred Bramante","Republican","Governor",,
"Belknap","Gilmanton","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Gilmanton","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Gilmanton","Jim Marron","Republican","Governor",,
"Belknap","Gilmanton","Jim Squires","Republican","Governor",,2
"Belknap","Gilmanton","Scatter",,"Governor",,
"Belknap","Laconia Ward 1","Mark Fernald","Democratic","Governor",,45
"Belknap","Laconia Ward 1","Jeanne Shaheen","Democratic","Governor",,124
"Belknap","Laconia Ward 1","Fred Bramante","Republican","Governor",,
"Belknap","Laconia Ward 1","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Laconia Ward 1","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Laconia Ward 1","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 1","Jim Squires","Republican","Governor",,
"Belknap","Laconia Ward 1","Scatter",,"Governor",,
"Belknap","Laconia Ward 2","Mark Fernald","Democratic","Governor",,36
"Belknap","Laconia Ward 2","Jeanne Shaheen","Democratic","Governor",,115
"Belknap","Laconia Ward 2","Fred Bramante","Republican","Governor",,
"Belknap","Laconia Ward 2","Jeffrey R. Howard","Republican","Governor",,
"Belknap","Laconia Ward 2","Gordon J. Humphrey","Republican","Governor",,2
"Belknap","Laconia Ward 2","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 2","Jim Squires","Republican","Governor",,1
"Belknap","Laconia Ward 2","Scatter",,"Governor",,
"Belknap","Laconia Ward 3","Mark Fernald","Democratic","Governor",,46
"Belknap","Laconia Ward 3","Jeanne Shaheen","Democratic","Governor",,108
"Belknap","Laconia Ward 3","Fred Bramante","Republican","Governor",,
"Belknap","Laconia Ward 3","Jeffrey R. Howard","Republican","Governor",,2
"Belknap","Laconia Ward 3","Gordon J. Humphrey","Republican","Governor",,
"Belknap","Laconia Ward 3","Jim Marron","Republican","Governor",,
"Belknap","Laconia Ward 3","Jim Squires","Republican","Governor",,
"Belknap","Laconia Ward 3","Scatter",,"Governor",,
"Belknap","Laconia Ward 4","Mark Fernald","Democratic","Governor",,37
"Belknap","Laconia Ward 4","Jeanne Shaheen","Democratic","Governor",,127
"Belknap","Laconia Ward 4","Fred Bramante","Republican","Governor",,
