county,town,office,party,candidate,votes
Belknap,Laconia Wd 3,State House District No. 3,D,Miller,382.0
Belknap,Laconia Wd 3,State House District No. 3,D,Huot,484.0
Belknap,Laconia Wd 3,State House District No. 3,D,Baxley,342.0
Belknap,Laconia Wd 3,State House District No. 3,D,Dawson,407.0
Belknap,Laconia Wd 3,State House District No. 3,,Scatter,
Belknap,Laconia Wd 4,State House District No. 3,D,Miller,274.0
Belknap,Laconia Wd 4,State House District No. 3,D,Huot,363.0
Belknap,Laconia Wd 4,State House District No. 3,D,Baxley,250.0
Belknap,Laconia Wd 4,State House District No. 3,D,Dawson,255.0
Belknap,Laconia Wd 4,State House District No. 3,,Scatter,1.0
Belknap,Laconia Wd 5,State House District No. 3,D,Miller,252.0
Belknap,Laconia Wd 5,State House District No. 3,D,Huot,310.0
Belknap,Laconia Wd 5,State House District No. 3,D,Baxley,223.0
Belknap,Laconia Wd 5,State House District No. 3,D,Dawson,231.0
Belknap,Laconia Wd 5,State House District No. 3,,Scatter,1.0
Belknap,Laconia Wd 6,State House District No. 3,D,Miller,423.0
Belknap,Laconia Wd 6,State House District No. 3,D,Huot,526.0
Belknap,Laconia Wd 6,State House District No. 3,D,Baxley,374.0
Belknap,Laconia Wd 6,State House District No. 3,D,Dawson,398.0
Belknap,Laconia Wd 6,State House District No. 3,,Scatter,
Belknap,Sanbornton,State House District No. 4,R,Gallagher,723.0
Belknap,Sanbornton,State House District No. 4,R,Fields,646.0
Belknap,Sanbornton,State House District No. 4,D,Raymond,595.0
Belknap,Sanbornton,State House District No. 4,D,Alden,484.0
Belknap,Sanbornton,State House District No. 4,,Scatter,13.0
Belknap,Tilton,State House District No. 4,R,Gallagher,556.0
Belknap,Tilton,State House District No. 4,R,Fields,552.0
Belknap,Tilton,State House District No. 4,D,Raymond,508.0
Belknap,Tilton,State House District No. 4,D,Alden,558.0
Belknap,Tilton,State House District No. 4,,Scatter,8.0
Belknap,Alton,State House District No. 5,R,Varney,1599.0
Belknap,Alton,State House District No. 5,R,Russell,1472.0
Belknap,Alton,State House District No. 5,D,Chase,725.0
Belknap,Alton,State House District No. 5,D,Brown,575.0
Belknap,Alton,State House District No. 5,,Scatter,1.0
Belknap,Gilmanton,State House District No. 5,R,Varney,736.0
Belknap,Gilmanton,State House District No. 5,R,Russell,867.0
Belknap,Gilmanton,State House District No. 5,D,Chase,615.0
Belknap,Gilmanton,State House District No. 5,D,Brown,478.0
Belknap,Gilmanton,State House District No. 5,,Scatter,
Belknap,Belmont,State House District No. 6,R,Sylvia,1217.0
Belknap,Belmont,State House District No. 6,R,Lebreche,1314.0
Belknap,Belmont,State House District No. 6,D,Cormier,922.0
Belknap,Belmont,State House District No. 6,D,Condodemetraky,610.0
Belknap,Belmont,State House District No. 6,,Scatter,
Belknap,Barnstead,State House District No. 7,R,Comtois,933.0
Belknap,Barnstead,State House District No. 7,D,Marriott,733.0
Belknap,Barnstead,State House District No. 7,,Scatter,1.0
Belknap,Alton,State House District No. 8,R,"Howard, Jr.",1356.0
Belknap,Alton,State House District No. 8,IND,Bolster,897.0
Belknap,Alton,State House District No. 8,,Scatter,4.0
Belknap,Barnstead,State House District No. 8,R,"Howard, Jr.",807.0
Belknap,Barnstead,State House District No. 8,IND,Bolster,668.0
Belknap,Barnstead,State House District No. 8,,Scatter,2.0
Belknap,Gilmanton,State House District No. 8,R,"Howard, Jr.",791.0
Belknap,Gilmanton,State House District No. 8,IND,Bolster,460.0
Belknap,Gilmanton,State House District No. 8,,Scatter,2.0
Belknap,Belmont,State House District No. 9,R,Fisher,1195.0
Belknap,Belmont,State House District No. 9,D,Arsenault,961.0
Belknap,Belmont,State House District No. 9,,Scatter,
Belknap,Laconia Wd 1,State House District No. 9,R,Fisher,584.0
Belknap,Laconia Wd 1,State House District No. 9,D,Arsenault,445.0
Belknap,Laconia Wd 1,State House District No. 9,,Scatter,
Belknap,Laconia Wd 2,State House District No. 9,R,Fisher,349.0
Belknap,Laconia Wd 2,State House District No. 9,D,Arsenault,348.0
Belknap,Laconia Wd 2,State House District No. 9,,Scatter,
Belknap,Laconia Wd 3,State House District No. 9,R,Fisher,411.0
Belknap,Laconia Wd 3,State House District No. 9,D,Arsenault,500.0
Belknap,Laconia Wd 3,State House District No. 9,,Scatter,
Belknap,Laconia Wd 4,State House District No. 9,R,Fisher,343.0
Belknap,Laconia Wd 4,State House District No. 9,D,Arsenault,383.0
Belknap,Laconia Wd 4,State House District No. 9,,Scatter,1.0
Belknap,Laconia Wd 5,State House District No. 9,R,Fisher,251.0
Belknap,Laconia Wd 5,State House District No. 9,D,Arsenault,334.0
Belknap,Laconia Wd 5,State House District No. 9,,Scatter,
Belknap,Laconia Wd 6,State House District No. 9,R,Fisher,642.0
Belknap,Laconia Wd 6,State House District No. 9,D,Arsenault,528.0
Belknap,Laconia Wd 6,State House District No. 9,,Scatter,
Carroll,Bartlett,State House District No. 1,R,Chandler,869.0
Carroll,Bartlett,State House District No. 1,D,Corbett,541.0
Carroll,Bartlett,State House District No. 1,,Scatter,
Carroll,Hart's Location,State House District No. 1,R,Chandler,15.0
Carroll,Hart's Location,State House District No. 1,D,Corbett,10.0
Carroll,Hart's Location,State House District No. 1,,Scatter,
Carroll,Jackson,State House District No. 1,R,Chandler,284.0
Carroll,Jackson,State House District No. 1,D,Corbett,262.0
Carroll,Jackson,State House District No. 1,,Scatter,2.0
Carroll,Chatham,State House District No. 2,R,Umberger,75.0
Carroll,Chatham,State House District No. 2,R,LeFebvre,55.0
Carroll,Chatham,State House District No. 2,R,McCarthy,67.0
Carroll,Chatham,State House District No. 2,D,White,43.0
Carroll,Chatham,State House District No. 2,D,Buco,55.0
Carroll,Chatham,State House District No. 2,IND,Hounsell,46.0
Carroll,Chatham,State House District No. 2,,Scatter,
Carroll,Conway,State House District No. 2,R,Umberger,1670.0
Carroll,Conway,State House District No. 2,R,LeFebvre,1028.0
Carroll,Conway,State House District No. 2,R,McCarthy,1371.0
Carroll,Conway,State House District No. 2,D,White,1425.0
Carroll,Conway,State House District No. 2,D,Buco,1523.0
Carroll,Conway,State House District No. 2,IND,Hounsell,845.0
Carroll,Conway,State House District No. 2,,Scatter,
Carroll,Eaton,State House District No. 2,R,Umberger,110.0
Carroll,Eaton,State House District No. 2,R,LeFebvre,79.0
Carroll,Eaton,State House District No. 2,R,McCarthy,88.0
Carroll,Eaton,State House District No. 2,D,White,91.0
Carroll,Eaton,State House District No. 2,D,Buco,97.0
Carroll,Eaton,State House District No. 2,IND,Hounsell,58.0
Carroll,Eaton,State House District No. 2,,Scatter,
Carroll,Hale's Location,State House District No. 2,R,Umberger,90.0
Carroll,Hale's Location,State House District No. 2,R,LeFebvre,76.0
Carroll,Hale's Location,State House District No. 2,R,McCarthy,89.0
Carroll,Hale's Location,State House District No. 2,D,White,17.0
Carroll,Hale's Location,State House District No. 2,D,Buco,23.0
Carroll,Hale's Location,State House District No. 2,IND,Hounsell,3.0
Carroll,Hale's Location,State House District No. 2,,Scatter,
Carroll,Albany,State House District No. 3,R,Thomson,112.0
Carroll,Albany,State House District No. 3,R,McConkey,120.0
Carroll,Albany,State House District No. 3,D,Ticehurst,155.0
Carroll,Albany,State House District No. 3,D,Solomon,143.0
Carroll,Albany,State House District No. 3,,Scatter,
Carroll,Freedom,State House District No. 3,R,Thomson,418.0
Carroll,Freedom,State House District No. 3,R,McConkey,362.0
Carroll,Freedom,State House District No. 3,D,Ticehurst,308.0
Carroll,Freedom,State House District No. 3,D,Solomon,198.0
Carroll,Freedom,State House District No. 3,,Scatter,
Carroll,Madison,State House District No. 3,R,Thomson,450.0
Carroll,Madison,State House District No. 3,R,McConkey,454.0
Carroll,Madison,State House District No. 3,D,Ticehurst,491.0
Carroll,Madison,State House District No. 3,D,Solomon,394.0
Carroll,Madison,State House District No. 3,,Scatter,
Carroll,Tamworth,State House District No. 3,R,Thomson,462.0
Carroll,Tamworth,State House District No. 3,R,McConkey,529.0
Carroll,Tamworth,State House District No. 3,D,Ticehurst,580.0
Carroll,Tamworth,State House District No. 3,D,Solomon,412.0
Carroll,Tamworth,State House District No. 3,,Scatter,
Carroll,Moultonborough,State House District No. 4,R,Crawford,1511.0
Carroll,Moultonborough,State House District No. 4,R,Cordelli,1317.0
Carroll,Moultonborough,State House District No. 4,D,Vazzana,713.0
Carroll,Moultonborough,State House District No. 4,D,Hill,683.0
Carroll,Moultonborough,State House District No. 4,,Scatter,3.0
Carroll,Sandwich,State House District No. 4,R,Crawford,327.0
Carroll,Sandwich,State House District No. 4,R,Cordelli,294.0
Carroll,Sandwich,State House District No. 4,D,Vazzana,425.0
Carroll,Sandwich,State House District No. 4,D,Hill,356.0
Carroll,Sandwich,State House District No. 4,,Scatter,
Carroll,Tuftonboro,State House District No. 4,R,Crawford,637.0
Carroll,Tuftonboro,State House District No. 4,R,Cordelli,772.0
Carroll,Tuftonboro,State House District No. 4,D,Vazzana,437.0
Carroll,Tuftonboro,State House District No. 4,D,Hill,350.0
Carroll,Tuftonboro,State House District No. 4,,Scatter,2.0
Carroll,Brookfield,State House District No. 5,R,Nelson,235.0
Carroll,Brookfield,State House District No. 5,R,Avellani,150.0
Carroll,Brookfield,State House District No. 5,R,Comeau,135.0
Carroll,Brookfield,State House District No. 5,D,Turner,73.0
Carroll,Brookfield,State House District No. 5,D,Lavender,132.0
Carroll,Brookfield,State House District No. 5,IND,Bona,34.0
Carroll,Brookfield,State House District No. 5,,Scatter,
Carroll,Effingham,State House District No. 5,R,Nelson,248.0
Carroll,Effingham,State House District No. 5,R,Avellani,181.0
Carroll,Effingham,State House District No. 5,R,Comeau,215.0
Carroll,Effingham,State House District No. 5,D,Turner,191.0
Carroll,Effingham,State House District No. 5,D,Lavender,181.0
Carroll,Effingham,State House District No. 5,IND,Bona,150.0
Carroll,Effingham,State House District No. 5,,Scatter,
Carroll,Ossipee,State House District No. 5,R,Nelson,723.0
Carroll,Ossipee,State House District No. 5,R,Avellani,552.0
Carroll,Ossipee,State House District No. 5,R,Comeau,617.0
Carroll,Ossipee,State House District No. 5,D,Turner,409.0
Carroll,Ossipee,State House District No. 5,D,Lavender,349.0
Carroll,Ossipee,State House District No. 5,IND,Bona,309.0
Carroll,Ossipee,State House District No. 5,,Scatter,1.0
Carroll,Wakefield,State House District No. 5,R,Nelson,982.0
Carroll,Wakefield,State House District No. 5,R,Avellani,1104.0
Carroll,Wakefield,State House District No. 5,R,Comeau,828.0
Carroll,Wakefield,State House District No. 5,D,Turner,481.0
Carroll,Wakefield,State House District No. 5,D,Lavender,582.0
Carroll,Wakefield,State House District No. 5,IND,Bona,219.0
Carroll,Wakefield,State House District No. 5,,Scatter,
Carroll,Wolfeboro,State House District No. 6,R,Schmidt,1666.0
Carroll,Wolfeboro,State House District No. 6,R,Parker,1774.0
Carroll,Wolfeboro,State House District No. 6,D,Simpson,1123.0
Carroll,Wolfeboro,State House District No. 6,D,Graham,1223.0
Carroll,Wolfeboro,State House District No. 6,,Scatter,
Carroll,Albany,State House District No. 7,R,Thibodeau,134.0
Carroll,Albany,State House District No. 7,D,Butler,162.0
Carroll,Albany,State House District No. 7,,Scatter,
Carroll,Bartlett,State House District No. 7,R,Thibodeau,623.0
Carroll,Bartlett,State House District No. 7,D,Butler,751.0
Carroll,Bartlett,State House District No. 7,,Scatter,
Carroll,Chatham,State House District No. 7,R,Thibodeau,78.0
Carroll,Chatham,State House District No. 7,D,Butler,55.0
Carroll,Chatham,State House District No. 7,,Scatter,
Carroll,Conway,State House District No. 7,R,Thibodeau,1537.0
Carroll,Conway,State House District No. 7,D,Butler,1639.0
Carroll,Conway,State House District No. 7,,Scatter,
Carroll,Eaton,State House District No. 7,R,Thibodeau,114.0
Carroll,Eaton,State House District No. 7,D,Butler,109.0
Carroll,Eaton,State House District No. 7,,Scatter,
Carroll,Freedom,State House District No. 7,R,Thibodeau,372.0
Carroll,Freedom,State House District No. 7,D,Butler,307.0
Carroll,Freedom,State House District No. 7,,Scatter,
Carroll,Hale's Location,State House District No. 7,R,Thibodeau,88.0
Carroll,Hale's Location,State House District No. 7,D,Butler,24.0
Carroll,Hale's Location,State House District No. 7,,Scatter,
Carroll,Hart's Location,State House District No. 7,R,Thibodeau,6.0
Carroll,Hart's Location,State House District No. 7,D,Butler,19.0
Carroll,Hart's Location,State House District No. 7,,Scatter,
Carroll,Jackson,State House District No. 7,R,Thibodeau,186.0
Carroll,Jackson,State House District No. 7,D,Butler,344.0
Carroll,Jackson,State House District No. 7,,Scatter,
Carroll,Madison,State House District No. 7,R,Thibodeau,486.0
Carroll,Madison,State House District No. 7,D,Butler,490.0
Carroll,Madison,State House District No. 7,,Scatter,
Carroll,Tamworth,State House District No. 7,R,Thibodeau,515.0
Carroll,Tamworth,State House District No. 7,D,Butler,524.0
Carroll,Tamworth,State House District No. 7,,Scatter,2.0
Carroll,Brookfield,State House District No. 8,R,Wright,185.0
Carroll,Brookfield,State House District No. 8,D,Hoag,99.0
Carroll,Brookfield,State House District No. 8,,Scatter,
Carroll,Effingham,State House District No. 8,R,Wright,262.0
Carroll,Effingham,State House District No. 8,D,Hoag,218.0
Carroll,Effingham,State House District No. 8,,Scatter,
Carroll,Moultonborough,State House District No. 8,R,Wright,1454.0
Carroll,Moultonborough,State House District No. 8,D,Hoag,753.0
Carroll,Moultonborough,State House District No. 8,,Scatter,
Carroll,Ossipee,State House District No. 8,R,Wright,767.0
Carroll,Ossipee,State House District No. 8,D,Hoag,455.0
Carroll,Ossipee,State House District No. 8,,Scatter,1.0
Carroll,Sandwich,State House District No. 8,R,Wright,288.0
Carroll,Sandwich,State House District No. 8,D,Hoag,465.0
Carroll,Sandwich,State House District No. 8,,Scatter,
Carroll,Tuftonboro,State House District No. 8,R,Wright,797.0
Carroll,Tuftonboro,State House District No. 8,D,Hoag,387.0
Carroll,Tuftonboro,State House District No. 8,,Scatter,
Carroll,Wakefield,State House District No. 8,R,Wright,1102.0
Carroll,Wakefield,State House District No. 8,D,Hoag,554.0
Carroll,Wakefield,State House District No. 8,,Scatter,
Cheshire,Chesterfield,State House District No. 1,R,Tracy,688.0
Cheshire,Chesterfield,State House District No. 1,R,Levlocke,681.0
Cheshire,Chesterfield,State House District No. 1,R,Sawyer,624.0
Cheshire,Chesterfield,State House District No. 1,R,Smith,707.0
Cheshire,Chesterfield,State House District No. 1,D,Weber,732.0
Cheshire,Chesterfield,State House District No. 1,D,Abbott,736.0
Cheshire,Chesterfield,State House District No. 1,D,Berch,710.0
Cheshire,Chesterfield,State House District No. 1,D,Sad,701.0
Cheshire,Chesterfield,State House District No. 1,,Scatter,3.0
Cheshire,Hinsdale,State House District No. 1,R,Tracy,348.0
Cheshire,Hinsdale,State House District No. 1,R,Levlocke,387.0
Cheshire,Hinsdale,State House District No. 1,R,Sawyer,336.0
Cheshire,Hinsdale,State House District No. 1,R,Smith,490.0
Cheshire,Hinsdale,State House District No. 1,D,Weber,603.0
Cheshire,Hinsdale,State House District No. 1,D,Abbott,777.0
Cheshire,Hinsdale,State House District No. 1,D,Berch,610.0
Cheshire,Hinsdale,State House District No. 1,D,Sad,606.0
Cheshire,Hinsdale,State House District No. 1,,Scatter,
Cheshire,Walpole,State House District No. 1,R,Tracy,505.0
Cheshire,Walpole,State House District No. 1,R,Levlocke,522.0
Cheshire,Walpole,State House District No. 1,R,Sawyer,613.0
Cheshire,Walpole,State House District No. 1,R,Smith,507.0
Cheshire,Walpole,State House District No. 1,D,Weber,967.0
Cheshire,Walpole,State House District No. 1,D,Abbott,832.0
Cheshire,Walpole,State House District No. 1,D,Berch,803.0
Cheshire,Walpole,State House District No. 1,D,Sad,999.0
Cheshire,Walpole,State House District No. 1,,Scatter,3.0
Cheshire,Westmoreland,State House District No. 1,R,Tracy,330.0
Cheshire,Westmoreland,State House District No. 1,R,Levlocke,330.0
Cheshire,Westmoreland,State House District No. 1,R,Sawyer,349.0
Cheshire,Westmoreland,State House District No. 1,R,Smith,344.0
Cheshire,Westmoreland,State House District No. 1,D,Weber,407.0
Cheshire,Westmoreland,State House District No. 1,D,Abbott,434.0
Cheshire,Westmoreland,State House District No. 1,D,Berch,430.0
Cheshire,Westmoreland,State House District No. 1,D,Sad,414.0
Cheshire,Westmoreland,State House District No. 1,,Scatter,
Cheshire,Alstead,State House District No. 2,R,Cartwright,322.0
Cheshire,Alstead,State House District No. 2,D,Mann,415.0
Cheshire,Alstead,State House District No. 2,,Scatter,
Cheshire,Marlow,State House District No. 2,R,Cartwright,128.0
Cheshire,Marlow,State House District No. 2,D,Mann,157.0
Cheshire,Marlow,State House District No. 2,,Scatter,
Cheshire,Surry,State House District No. 2,R,Cartwright,172.0
Cheshire,Surry,State House District No. 2,D,Mann,172.0
Cheshire,Surry,State House District No. 2,,Scatter,
Cheshire,Gilsum,State House District No. 3,R,Ward,157.0
Cheshire,Gilsum,State House District No. 3,D,Eaton,137.0
Cheshire,Gilsum,State House District No. 3,,Scatter,
Cheshire,Nelson,State House District No. 3,R,Ward,122.0
Cheshire,Nelson,State House District No. 3,D,Eaton,207.0
Cheshire,Nelson,State House District No. 3,,Scatter,
Cheshire,Stoddard,State House District No. 3,R,Ward,276.0
Cheshire,Stoddard,State House District No. 3,D,Eaton,299.0
Cheshire,Stoddard,State House District No. 3,,Scatter,2.0
Cheshire,Sullivan,State House District No. 3,R,Ward,117.0
Cheshire,Sullivan,State House District No. 3,D,Eaton,145.0
Cheshire,Sullivan,State House District No. 3,,Scatter,
Cheshire,Keene Ward 1,State House District No. 4,R,Crawford,242.0
Cheshire,Keene Ward 1,State House District No. 4,D,Pearson,580.0
Cheshire,Keene Ward 1,State House District No. 4,,Scatter,3.0
Cheshire,Keene Ward 2,State House District No. 5,D,Bordenet,1187.0
Cheshire,Keene Ward 2,State House District No. 5,,Scatter,7.0
Cheshire,Keene Ward 3,State House District No. 6,D,Robertson,1169.0
Cheshire,Keene Ward 3,State House District No. 6,,Scatter,
Cheshire,Keene Ward 4,State House District No. 7,D,Johnsen,1169.0
Cheshire,Keene Ward 4,State House District No. 7,,Scatter,5.0
Cheshire,Keene Ward 5,State House District No. 8,R,Hansel,879.0
Cheshire,Keene Ward 5,State House District No. 8,D,Chase,930.0
Cheshire,Keene Ward 5,State House District No. 8,,Scatter,
Cheshire,Dublin,State House District No. 9,R,Creekmore,290.0
Cheshire,Dublin,State House District No. 9,R,Bussiere,287.0
Cheshire,Dublin,State House District No. 9,D,Ley,419.0
Cheshire,Dublin,State House District No. 9,D,Ames,446.0
Cheshire,Dublin,State House District No. 9,,Scatter,
Cheshire,Harrisville,State House District No. 9,R,Creekmore,127.0
Cheshire,Harrisville,State House District No. 9,R,Bussiere,122.0
Cheshire,Harrisville,State House District No. 9,D,Ley,339.0
Cheshire,Harrisville,State House District No. 9,D,Ames,349.0
Cheshire,Harrisville,State House District No. 9,,Scatter,
Cheshire,Jaffrey,State House District No. 9,R,Creekmore,817.0
Cheshire,Jaffrey,State House District No. 9,R,Bussiere,859.0
Cheshire,Jaffrey,State House District No. 9,D,Ley,903.0
Cheshire,Jaffrey,State House District No. 9,D,Ames,958.0
Cheshire,Jaffrey,State House District No. 9,,Scatter,
Cheshire,Roxbury,State House District No. 9,R,Creekmore,28.0
Cheshire,Roxbury,State House District No. 9,R,Bussiere,25.0
Cheshire,Roxbury,State House District No. 9,D,Ley,52.0
Cheshire,Roxbury,State House District No. 9,D,Ames,53.0
Cheshire,Roxbury,State House District No. 9,,Scatter,
Cheshire,Marlborough,State House District No. 10,R,Chapman,235.0
Cheshire,Marlborough,State House District No. 10,D,Shepardson,543.0
Cheshire,Marlborough,State House District No. 10,,Scatter,2.0
Cheshire,Troy,State House District No. 10,R,Chapman,294.0
Cheshire,Troy,State House District No. 10,D,Shepardson,321.0
Cheshire,Troy,State House District No. 10,,Scatter,
Cheshire,Fitzwilliam,State House District No. 11,R,Hunt,452.0
Cheshire,Fitzwilliam,State House District No. 11,R,Emerson,443.0
Cheshire,Fitzwilliam,State House District No. 11,D,Sacher,324.0
Cheshire,Fitzwilliam,State House District No. 11,,Scatter,6.0
Cheshire,Rindge,State House District No. 11,R,Hunt,1412.0
Cheshire,Rindge,State House District No. 11,R,Emerson,1318.0
Cheshire,Rindge,State House District No. 11,D,Sacher,619.0
Cheshire,Rindge,State House District No. 11,,Scatter,4.0
Cheshire,Richmond,State House District No. 12,R,Sainsbury,188.0
Cheshire,Richmond,State House District No. 12,R,McConnell,213.0
Cheshire,Swanzey,State House District No. 12,R,Sainsbury,892.0
Cheshire,Swanzey,State House District No. 12,R,McConnell,1031.0
Cheshire,Richmond,State House District No. 12,D,Tilton,196.0
Cheshire,Richmond,State House District No. 12,D,Faulkner,157.0
Cheshire,Richmond,State House District No. 12,,Scatter,4.0
Cheshire,Swanzey,State House District No. 12,D,Tilton,1076.0
Cheshire,Swanzey,State House District No. 12,D,Faulkner,1084.0
Cheshire,Swanzey,State House District No. 12,,Scatter,
Cheshire,Winchester,State House District No. 13,D,Parkhurst,815.0
Cheshire,Winchester,State House District No. 13,,Scatter,8.0
Cheshire,Dublin,State House District No. 14,R,"Sterling, Jr.",333.0
Cheshire,Dublin,State House District No. 14,D,Martin,418.0
Cheshire,Dublin,State House District No. 14,,Scatter,
Cheshire,Fitzwilliam,State House District No. 14,R,"Sterling, Jr.",384.0
Cheshire,Fitzwilliam,State House District No. 14,D,Martin,444.0
Cheshire,Fitzwilliam,State House District No. 14,,Scatter,1.0
Cheshire,Harrisville,State House District No. 14,R,"Sterling, Jr.",143.0
Cheshire,Harrisville,State House District No. 14,D,Martin,341.0
Cheshire,Harrisville,State House District No. 14,,Scatter,
Cheshire,Jaffrey,State House District No. 14,R,"Sterling, Jr.",1045.0
Cheshire,Jaffrey,State House District No. 14,D,Martin,844.0
Cheshire,Jaffrey,State House District No. 14,,Scatter,3.0
Cheshire,Rindge,State House District No. 14,R,"Sterling, Jr.",1281.0
Cheshire,Rindge,State House District No. 14,D,Martin,784.0
Cheshire,Rindge,State House District No. 14,,Scatter,1.0
Cheshire,Roxbury,State House District No. 14,R,"Sterling, Jr.",29.0
Cheshire,Roxbury,State House District No. 14,D,Martin,55.0
Cheshire,Roxbury,State House District No. 14,,Scatter,
Cheshire,Marlborough,State House District No. 15,R,Thackston,289.0
Cheshire,Marlborough,State House District No. 15,D,Tatro,474.0
Cheshire,Marlborough,State House District No. 15,,Scatter,2.0
Cheshire,Richmond,State House District No. 15,R,Thackston,217.0
Cheshire,Richmond,State House District No. 15,D,Tatro,197.0
Cheshire,Richmond,State House District No. 15,,Scatter,3.0
Cheshire,Swanzey,State House District No. 15,R,Thackston,917.0
Cheshire,Swanzey,State House District No. 15,D,Tatro,1361.0
Cheshire,Swanzey,State House District No. 15,,Scatter,
Cheshire,Troy,State House District No. 15,R,Thackston,324.0
Cheshire,Troy,State House District No. 15,D,Tatro,299.0
Cheshire,Troy,State House District No. 15,,Scatter,
Cheshire,Winchester,State House District No. 15,R,Thackston,466.0
Cheshire,Winchester,State House District No. 15,D,Tatro,621.0
Cheshire,Winchester,State House District No. 15,,Scatter,1.0
Cheshire,Keene Ward 1,State House District No. 16,R,Swearingen,192.0
Cheshire,Keene Ward 1,State House District No. 16,R,Sickels,231.0
Cheshire,Keene Ward 1,State House District No. 16,D,Roberts,595.0
Cheshire,Keene Ward 1,State House District No. 16,D,Phillips,515.0
Cheshire,Keene Ward 1,State House District No. 16,,Scatter,6.0
Cheshire,Keene Ward 2,State House District No. 16,R,Swearingen,332.0
Cheshire,Keene Ward 2,State House District No. 16,R,Sickels,400.0
Cheshire,Keene Ward 2,State House District No. 16,D,Roberts,1101.0
Cheshire,Keene Ward 2,State House District No. 16,D,Phillips,942.0
Cheshire,Keene Ward 2,State House District No. 16,,Scatter,2.0
Cheshire,Keene Ward 3,State House District No. 16,R,Swearingen,360.0
Cheshire,Keene Ward 3,State House District No. 16,R,Sickels,516.0
Cheshire,Keene Ward 3,State House District No. 16,D,Roberts,1012.0
Cheshire,Keene Ward 3,State House District No. 16,D,Phillips,862.0
