county,town,office,party,candidate,votes
Belknap,Center Harbor,State House District No. 1,R,Fraser,295.0
Belknap,Center Harbor,State House District No. 1,D,Gulick,215.0
Belknap,Center Harbor,State House District No. 1,,Scatter,1.0
Belknap,New Hampton,State House District No. 1,R,Fraser,443.0
Belknap,New Hampton,State House District No. 1,D,Gulick,473.0
Belknap,New Hampton,State House District No. 1,,Scatter,1.0
Belknap,Gilford,State House District No. 2,R,Vadney,1545.0
Belknap,Gilford,State House District No. 2,R,Aldrich,1582.0
Belknap,Gilford,State House District No. 2,R,Dumais,1922.0
Belknap,Gilford,State House District No. 2,R,Hurt,1747.0
Belknap,Meredith,State House District No. 2,R,Vadney,1691.0
Belknap,Meredith,State House District No. 2,R,Aldrich,1501.0
Belknap,Meredith,State House District No. 2,R,Dumais,1516.0
Belknap,Meredith,State House District No. 2,R,Hurt,1553.0
Belknap,Gilford,State House District No. 2,D,Piquado,1102.0
Belknap,Gilford,State House District No. 2,D,DiMartino,1589.0
Belknap,Gilford,State House District No. 2,D,Frost,1271.0
Belknap,Gilford,State House District No. 2,D,Mucci,1108.0
Belknap,Gilford,State House District No. 2,,Scatter,8.0
Belknap,Meredith,State House District No. 2,D,Piquado,923.0
Belknap,Meredith,State House District No. 2,D,DiMartino,1177.0
Belknap,Meredith,State House District No. 2,D,Frost,1045.0
Belknap,Meredith,State House District No. 2,D,Mucci,1084.0
Belknap,Meredith,State House District No. 2,,Scatter,
Belknap,Laconia Wd 1,State House District No. 3,R,Tilton,586.0
Belknap,Laconia Wd 1,State House District No. 3,R,Flanders,616.0
Belknap,Laconia Wd 1,State House District No. 3,R,Luther,563.0
Belknap,Laconia Wd 1,State House District No. 3,R,Spanos,588.0
Belknap,Laconia Wd 2,State House District No. 3,R,Tilton,379.0
Belknap,Laconia Wd 2,State House District No. 3,R,Flanders,394.0
Belknap,Laconia Wd 2,State House District No. 3,R,Luther,355.0
Belknap,Laconia Wd 2,State House District No. 3,R,Spanos,347.0
Belknap,Laconia Wd 3,State House District No. 3,R,Tilton,466.0
Belknap,Laconia Wd 3,State House District No. 3,R,Flanders,463.0
Belknap,Laconia Wd 3,State House District No. 3,R,Luther,413.0
Belknap,Laconia Wd 3,State House District No. 3,R,Spanos,421.0
Belknap,Laconia Wd 4,State House District No. 3,R,Tilton,372.0
Belknap,Laconia Wd 4,State House District No. 3,R,Flanders,387.0
Belknap,Laconia Wd 4,State House District No. 3,R,Luther,348.0
Belknap,Laconia Wd 4,State House District No. 3,R,Spanos,350.0
Belknap,Laconia Wd 5,State House District No. 3,R,Tilton,285.0
Belknap,Laconia Wd 5,State House District No. 3,R,Flanders,293.0
Belknap,Laconia Wd 5,State House District No. 3,R,Luther,269.0
Belknap,Laconia Wd 5,State House District No. 3,R,Spanos,261.0
Belknap,Laconia Wd 6,State House District No. 3,R,Tilton,660.0
Belknap,Laconia Wd 6,State House District No. 3,R,Flanders,665.0
Belknap,Laconia Wd 6,State House District No. 3,R,Luther,599.0
Belknap,Laconia Wd 6,State House District No. 3,R,Spanos,609.0
Belknap,Laconia Wd 1,State House District No. 3,D,Miller,363.0
Belknap,Laconia Wd 1,State House District No. 3,D,Huot,426.0
Belknap,Laconia Wd 1,State House District No. 3,D,Baxley,321.0
Belknap,Laconia Wd 1,State House District No. 3,D,Dawson,334.0
Belknap,Laconia Wd 1,State House District No. 3,,Scatter,
Belknap,Laconia Wd 2,State House District No. 3,D,Miller,240.0
Belknap,Laconia Wd 2,State House District No. 3,D,Huot,333.0
Belknap,Laconia Wd 2,State House District No. 3,D,Baxley,215.0
Belknap,Laconia Wd 2,State House District No. 3,D,Dawson,248.0
Belknap,Laconia Wd 2,State House District No. 3,,Scatter,1.0
