county,town,office,district,party,candidate,votes
Belknap,Alton,President,,DEM,Michael Bennet,3
Belknap,Barnstead,President,,DEM,Michael Bennet,2
Belknap,Belmont,President,,DEM,Michael Bennet,1
Belknap,Center Harbor,President,,DEM,Michael Bennet,0
Belknap,Gilford,President,,DEM,Michael Bennet,4
Belknap,Gilmanton,President,,DEM,Michael Bennet,2
Belknap,Laconia Ward 1,President,,DEM,Michael Bennet,1
Belknap,Laconia Ward 2,President,,DEM,Michael Bennet,3
Belknap,Laconia Ward 3,President,,DEM,Michael Bennet,1
Belknap,Laconia Ward 4,President,,DEM,Michael Bennet,1
Belknap,Laconia Ward 5,President,,DEM,Michael Bennet,2
Belknap,Laconia Ward 6,President,,DEM,Michael Bennet,4
Belknap,Meredith,President,,DEM,Michael Bennet,3
Belknap,New Hampton,President,,DEM,Michael Bennet,0
Belknap,Sanbornton,President,,DEM,Michael Bennet,1
Belknap,Tilton,President,,DEM,Michael Bennet,1
Belknap,Alton,President,,DEM,Joe Biden,124
Belknap,Barnstead,President,,DEM,Joe Biden,58
Belknap,Belmont,President,,DEM,Joe Biden,98
Belknap,Center Harbor,President,,DEM,Joe Biden,26
Belknap,Gilford,President,,DEM,Joe Biden,184
Belknap,Gilmanton,President,,DEM,Joe Biden,68
Belknap,Laconia Ward 1,President,,DEM,Joe Biden,65
Belknap,Laconia Ward 2,President,,DEM,Joe Biden,41
Belknap,Laconia Ward 3,President,,DEM,Joe Biden,50
Belknap,Laconia Ward 4,President,,DEM,Joe Biden,43
Belknap,Laconia Ward 5,President,,DEM,Joe Biden,17
Belknap,Laconia Ward 6,President,,DEM,Joe Biden,68
Belknap,Meredith,President,,DEM,Joe Biden,146
Belknap,New Hampton,President,,DEM,Joe Biden,35
Belknap,Sanbornton,President,,DEM,Joe Biden,49
Belknap,Tilton,President,,DEM,Joe Biden,50
Belknap,Alton,President,,DEM,Cory Booker,0
Belknap,Barnstead,President,,DEM,Cory Booker,0
Belknap,Belmont,President,,DEM,Cory Booker,1
Belknap,Center Harbor,President,,DEM,Cory Booker,0
Belknap,Gilford,President,,DEM,Cory Booker,2
Belknap,Gilmanton,President,,DEM,Cory Booker,0
Belknap,Laconia Ward 1,President,,DEM,Cory Booker,0
Belknap,Laconia Ward 2,President,,DEM,Cory Booker,1
Belknap,Laconia Ward 3,President,,DEM,Cory Booker,0
Belknap,Laconia Ward 4,President,,DEM,Cory Booker,1
Belknap,Laconia Ward 5,President,,DEM,Cory Booker,0
Belknap,Laconia Ward 6,President,,DEM,Cory Booker,0
Belknap,Meredith,President,,DEM,Cory Booker,1
Belknap,New Hampton,President,,DEM,Cory Booker,0
Belknap,Sanbornton,President,,DEM,Cory Booker,1
Belknap,Tilton,President,,DEM,Cory Booker,1
Belknap,Alton,President,,DEM,Boyd,0
Belknap,Barnstead,President,,DEM,Boyd,0
Belknap,Belmont,President,,DEM,Boyd,0
Belknap,Center Harbor,President,,DEM,Boyd,0
Belknap,Gilford,President,,DEM,Boyd,0
Belknap,Gilmanton,President,,DEM,Boyd,0
Belknap,Laconia Ward 1,President,,DEM,Boyd,1
Belknap,Laconia Ward 2,President,,DEM,Boyd,0
Belknap,Laconia Ward 3,President,,DEM,Boyd,0
Belknap,Laconia Ward 4,President,,DEM,Boyd,0
Belknap,Laconia Ward 5,President,,DEM,Boyd,0
Belknap,Laconia Ward 6,President,,DEM,Boyd,0
Belknap,Meredith,President,,DEM,Boyd,0
Belknap,New Hampton,President,,DEM,Boyd,1
Belknap,Sanbornton,President,,DEM,Boyd,0
Belknap,Tilton,President,,DEM,Boyd,0
Belknap,Alton,President,,DEM,Steve Bullock,0
Belknap,Barnstead,President,,DEM,Steve Bullock,0
Belknap,Belmont,President,,DEM,Steve Bullock,0
Belknap,Center Harbor,President,,DEM,Steve Bullock,0
Belknap,Gilford,President,,DEM,Steve Bullock,1
Belknap,Gilmanton,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 1,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 2,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 3,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 4,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 5,President,,DEM,Steve Bullock,0
Belknap,Laconia Ward 6,President,,DEM,Steve Bullock,0
Belknap,Meredith,President,,DEM,Steve Bullock,1
Belknap,New Hampton,President,,DEM,Steve Bullock,0
Belknap,Sanbornton,President,,DEM,Steve Bullock,0
Belknap,Tilton,President,,DEM,Steve Bullock,0
Belknap,Alton,President,,DEM,Burke,0
Belknap,Barnstead,President,,DEM,Burke,0
Belknap,Belmont,President,,DEM,Burke,0
Belknap,Center Harbor,President,,DEM,Burke,0
Belknap,Gilford,President,,DEM,Burke,0
Belknap,Gilmanton,President,,DEM,Burke,0
Belknap,Laconia Ward 1,President,,DEM,Burke,1
Belknap,Laconia Ward 2,President,,DEM,Burke,0
Belknap,Laconia Ward 3,President,,DEM,Burke,0
Belknap,Laconia Ward 4,President,,DEM,Burke,1
Belknap,Laconia Ward 5,President,,DEM,Burke,0
Belknap,Laconia Ward 6,President,,DEM,Burke,0
Belknap,Meredith,President,,DEM,Burke,0
Belknap,New Hampton,President,,DEM,Burke,0
Belknap,Sanbornton,President,,DEM,Burke,0
Belknap,Tilton,President,,DEM,Burke,0
Belknap,Alton,President,,DEM,Pete Buttigieg,217
Belknap,Barnstead,President,,DEM,Pete Buttigieg,151
Belknap,Belmont,President,,DEM,Pete Buttigieg,282
